,generation_strategy,dataset,model,fidelity@1,fidelity@5,fidelity@10,fidelity@20,target,seed
0,genetic,ml-100k,BERT4Rec,1.0,0.8027571580063627,0.8260869565217391,0.8748674443266172,None,42
1,genetic_categorized,ml-100k,BERT4Rec,1.0,0.7847295864262991,0.7560975609756098,0.7391304347826086,None,42
2,targeted,ml-100k,BERT4Rec,1.0,0.7582184517497349,0.6320254506892895,0.5227995758218452,0,42
3,targeted,ml-100k,BERT4Rec,0.992576882290562,0.3584305408271474,0.1908801696712619,0.1389183457051961,10,42
4,targeted,ml-100k,BERT4Rec,0.9968186638388123,0.5938494167550371,0.3531283138918346,0.2089077412513255,1,42
5,targeted,ml-100k,BERT4Rec,0.9427359490986216,0.4316012725344644,0.2449628844114528,0.1580063626723223,2,42
6,targeted,ml-100k,BERT4Rec,1.0,0.647932131495228,0.5344644750795334,0.4199363732767762,7,42
7,targeted,ml-100k,BERT4Rec,0.8928950159066809,0.2555673382820784,0.0180275715800636,0.0,8,42
13,genetic,ml-1m,BERT4Rec,1.0,0.8041237113402062,0.8298969072164949,0.8608247422680413,None,10
14,genetic,ml-1m,BERT4Rec,1.0,0.7956989247311828,0.7903225806451613,0.8602150537634409,None,15
15,genetic,ml-1m,BERT4Rec,1.0,0.755,0.79,0.855,None,42
16,genetic,ml-1m,BERT4Rec,1.0,0.8033707865168539,0.848314606741573,0.8820224719101124,None,101
17,genetic_categorized,ml-1m,BERT4Rec,1.0,0.723404255319149,0.6329787234042553,0.5957446808510638,None,10
18,genetic_categorized,ml-1m,BERT4Rec,1.0,0.7,0.625,0.605,None,15
19,genetic_categorized,ml-1m,BERT4Rec,1.0,0.695,0.61,0.58,None,42
20,genetic_categorized,ml-1m,BERT4Rec,1.0,0.6966292134831461,0.6179775280898876,0.5730337078651685,None,101
21,targeted,ml-1m,BERT4Rec,1.0,0.7268041237113402,0.5927835051546392,0.4793814432989691,0,10
22,targeted,ml-1m,BERT4Rec,0.97,0.43,0.32,0.265,10,10
23,targeted,ml-1m,BERT4Rec,1.0,0.654639175257732,0.3711340206185567,0.2268041237113402,1,10
24,targeted,ml-1m,BERT4Rec,0.9278350515463918,0.4278350515463917,0.3195876288659793,0.2474226804123711,2,10
25,targeted,ml-1m,BERT4Rec,1.0,0.648936170212766,0.5053191489361702,0.4202127659574468,7,10
26,targeted,ml-1m,BERT4Rec,0.9574468085106383,0.4521276595744681,0.2606382978723404,0.1595744680851064,8,10
27,targeted,ml-1m,BERT4Rec,1.0,0.765,0.665,0.525,0,15
28,targeted,ml-1m,BERT4Rec,0.985,0.425,0.32,0.255,10,15
29,targeted,ml-1m,BERT4Rec,1.0,0.595,0.405,0.275,1,15
30,targeted,ml-1m,BERT4Rec,0.9,0.42,0.33,0.26,2,15
31,targeted,ml-1m,BERT4Rec,1.0,0.66,0.48,0.385,7,15
32,targeted,ml-1m,BERT4Rec,0.94,0.515,0.26,0.175,8,15
33,targeted,ml-1m,BERT4Rec,1.0,0.82,0.665,0.565,0,42
34,targeted,ml-1m,BERT4Rec,1.0,0.66,0.44,0.305,1,42
35,targeted,ml-1m,BERT4Rec,0.88,0.455,0.335,0.285,2,42
36,targeted,ml-1m,BERT4Rec,1.0,0.64,0.49,0.42,7,42
37,targeted,ml-1m,BERT4Rec,0.925,0.44,0.2,0.145,8,42
38,targeted,ml-1m,BERT4Rec,1.0,0.8146067415730337,0.6685393258426966,0.5730337078651685,0,101
39,targeted,ml-1m,BERT4Rec,0.967032967032967,0.554945054945055,0.4285714285714285,0.3406593406593406,10,101
40,targeted,ml-1m,BERT4Rec,1.0,0.6685393258426966,0.4438202247191011,0.2528089887640449,1,101
41,targeted,ml-1m,BERT4Rec,0.8932584269662921,0.4157303370786517,0.3202247191011236,0.2359550561797752,2,101
42,targeted,ml-1m,BERT4Rec,1.0,0.6348314606741573,0.4831460674157303,0.4382022471910112,7,101
43,targeted,ml-1m,BERT4Rec,0.9325842696629212,0.3820224719101123,0.1573033707865168,0.1235955056179775,8,101
44,targeted_uncategorized,ml-1m,BERT4Rec,0.645,0.645,0.645,0.645,105,10
45,targeted_uncategorized,ml-1m,BERT4Rec,0.0,0.0,0.0,0.0,1761,10
47,targeted_uncategorized,ml-1m,BERT4Rec,0.0,0.0,0.0,0.0,248,10
50,targeted_uncategorized,ml-1m,BERT4Rec,0.005,0.005,0.005,0.005,718,10
52,targeted_uncategorized,ml-1m,BERT4Rec,0.58,0.58,0.58,0.58,105,15
53,targeted_uncategorized,ml-1m,BERT4Rec,0.0,0.0,0.0,0.0,1761,15
55,targeted_uncategorized,ml-1m,BERT4Rec,0.0,0.0,0.0,0.0,248,15
58,targeted_uncategorized,ml-1m,BERT4Rec,0.01,0.01,0.01,0.01,718,15
72,genetic,steam,BERT4Rec,1.0,0.695852534562212,0.7142857142857143,0.8064516129032258,None,15
