tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,mutation_params,generation_strategy,jaccard_threshold,timestamp
2831,73,1327,59,97.49,96.92,97.96,"(9292, 8029)","(2890, 1400)",50,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
0,1,3987,3750,0.0,51.52,0.0,"(9406, 8189)","(3750, 3988)",50,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
384,0,1177,2285,100.0,40.59,14.39,"(9768, 7941)","(2669, 1177)",19,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
41,0,2755,2926,100.0,48.86,1.38,"(9827, 7875)","(2967, 2755)",50,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2831,0,1324,49,100.0,98.83,98.3,"(9690, 7966)","(2880, 1324)",50,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2303,1081,191,906,68.06,55.66,71.77,"(9641, 8044)","(3209, 1272)",50,"1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
218,0,1633,2425,100.0,43.29,8.25,"(9497, 7978)","(2643, 1633)",20,"3430,1371,658,595,24,339,1238,2572,1232,560,247,1250,744,1451,2233,1241,961,122,986,946",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
3040,2165,14,16,58.41,58.34,99.48,"(9788, 7991)","(3056, 2179)",50,"1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,776",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2574,21,1492,410,99.19,90.42,86.26,"(9776, 8148)","(2984, 1513)",50,"1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
372,0,3429,2382,100.0,61.48,13.51,"(9750, 8130)","(2754, 3429)",50,"421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,539",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2539,75,1228,506,97.13,86.64,83.38,"(9779, 7872)","(3045, 1303)",50,"645,739,620,969,642,1260,865,631,87,2020,99,556,1076,763,565,134,108,1185,1210,1997,1104,1727,1134,1725,1243,1979,1096,1064,1054,935,1095,613,721,583,643,20,559,574,843,1038,623,679,674,742,569,657,1084,188,1342,1067",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
567,16,1411,2487,97.26,44.14,18.57,"(9698, 8102)","(3054, 1427)",30,"1272,33,65,793,42,727,400,1349,2042,1463,199,1390,1624,1962,375,1235,1248,1398,696,1043,2102,1547,257,373,980,318,39,17,1769,898",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
38,0,2029,2975,100.0,41.0,1.26,"(9807, 8009)","(3013, 2029)",46,"45,189,2439,2192,65,66,110,2786,426,1073,435,670,1666,147,1193,2551,679,7,214,1844,137,140,729,210,1110,44,474,431,301,133,715,1155,218,187,211,256,588,123,387,433,63,79,278,1019,196,118",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2906,18,1476,106,99.38,97.25,96.48,"(9823, 7888)","(3012, 1494)",50,"63,61,114,644,1475,27,1005,1004,190,1019,323,1006,1018,620,604,677,768,161,513,985,1588,725,559,865,1711,809,2557,1120,645,755,87,1249,2556,1076,1210,134,1727,168,260,435,129,796,128,277,662,106,163,55,719,547",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
1799,688,2257,1281,72.34,67.32,58.41,"(9761, 8062)","(3080, 2945)",35,"578,65,28,1432,2079,199,1043,1713,80,63,265,44,152,157,1059,133,93,49,631,433,190,134,844,79,118,105,639,1396,51,117,90,21,402,89,336",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
3246,1555,2,1,67.61,67.61,99.97,"(9610, 8085)","(3247, 1557)",50,"538,21,516,336,190,291,366,1012,804,503,515,2850,535,2399,355,1896,90,816,1595,872,1865,1187,33,146,1277,149,552,2471,84,1802,619,451,397,826,984,180,165,745,1310,1322,1432,353,1055,413,668,687,332,2867,600,658",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
3060,3299,839,86,48.12,53.53,97.27,"(9803, 7990)","(3146, 4138)",50,"712,49,386,6,190,749,215,151,63,216,1155,65,1114,187,79,349,644,647,714,241,1146,278,59,75,1004,857,756,1229,1020,61,587,434,529,118,121,3613,591,606,620,146,1019,161,896,92,164,95,138,645,147,770",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
104,0,2278,2798,100.0,45.98,3.58,"(9785, 7826)","(2902, 2278)",50,"155,556,1940,74,1716,1089,2655,1844,1251,1104,2320,2176,1073,1343,1103,2294,1064,1079,1727,930,879,1656,2174,2641,1351,1030,2295,2200,1095,1049,245,260,2781,256,983,58,243,60,337,922,1688,912,1108,2963,2449,1968,1225,889,732,920",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
189,306,2049,2614,38.18,43.39,6.74,"(9716, 8181)","(2803, 2355)",47,"1427,65,1139,2511,1186,796,245,52,51,49,41,93,337,14,16,58,42,715,756,1229,218,1116,85,23,187,178,274,211,20,184,1211,1332,1650,1235,53,429,548,731,1299,626,206,219,702,45,125,133,114",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
2913,2828,295,20,50.74,52.97,99.32,"(9818, 8010)","(2933, 3123)",50,"391,127,1047,613,5,683,9,208,1048,8,1863,581,771,601,506,178,799,207,382,14,23,274,176,142,291,1345,1211,16,20,757,643,169,1314,815,1311,731,1299,184,965,27,1006,1059,156,433,252,161,991,897,656,738",True,BERT4Rec,ml-1m,8192,20,0.2,0.2,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,0.2,0.2,"(4, 4, 4)",genetic_categorized,0.7,"Mon, 16 Dec 2024 22:03:27"
