i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
1,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
2,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
3,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
4,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
5,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
6,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
7,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
8,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
9,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,BERT4Rec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 21:13:18",EmptyDatasetError
