i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,targeted_uncategorized,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,1239,463",None,1,None,None,86.712,None,None,None,None,50,158,50,1,0,"50,696,190,142,25","158,436,720,84,432","50,50,50,50,50",1.0,0.0,"50,696,190,142,25,356,500,61,624,210","158,436,720,84,432,292,131,61,185,298","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,696,190,142,25,356,500,61,624,210,248,64,45,87,720,308,390,358,372,1017","158,436,720,84,432,292,131,61,185,298,140,137,227,205,453,648,407,358,142,270","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,252,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,add_252,del_463",1,None,None,None,19.56,None,269,158,None,0,"269,405,326,61,281","158,436,720,84,432",None,0.0,"269,405,326,61,281,447,96,303,140,270","158,436,720,84,432,292,131,61,185,298",None,0.0,"269,405,326,61,281,447,96,303,140,270,50,185,677,492,158,83,121,324,720,31","158,436,720,84,432,292,131,61,185,298,140,137,227,205,453,648,407,358,142,270",None,0.752,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",
1,targeted_uncategorized,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1033",None,1,None,None,105.674,None,None,None,None,50,270,50,1,0,"50,118,653,1001,158","270,653,354,1220,185","50,50,50,50,50",1.0,0.0,"50,118,653,1001,158,358,61,154,270,874","270,653,354,1220,185,1185,246,492,88,840","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,118,653,1001,158,358,61,154,270,874,1220,861,405,52,1185,624,542,492,243,88","270,653,354,1220,185,1185,246,492,88,840,555,154,358,405,131,2,207,158,105,118","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,237","sync_1671,sync_5,sync_882,sync_99,sync_586,sync_852,sync_336,sync_931,sync_1104,sync_392,sync_1480,sync_2,sync_207,sync_1117,sync_610,sync_864,sync_405,sync_117,sync_1422,sync_1018,sync_178,sync_1179,sync_1195,sync_244,sync_44,sync_956,sync_595,sync_991,sync_281,sync_1182,sync_1167,sync_1059,sync_73,sync_1282,sync_1385,sync_131,sync_658,sync_358,sync_142,sync_185,sync_205,sync_512,sync_88,sync_190,sync_201,sync_861,sync_86,sync_1220,sync_756,add_237,del_1014",1,None,None,None,2.642,None,771,270,None,0,"771,1201,290,1146,1185","270,653,354,1220,185",None,0.0,"771,1201,290,1146,1185,492,185,61,1169,409","270,653,354,1220,185,1185,246,492,88,840",None,0.0,"771,1201,290,1146,1185,492,185,61,1169,409,555,44,542,483,37,154,347,158,298,849","270,653,354,1220,185,1185,246,492,88,840,555,154,358,405,131,2,207,158,105,118",None,0.0,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",
2,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
3,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
4,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
5,targeted_uncategorized,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,569,358,13,69,401,696,78,241,231,175,290,404,492",None,2,None,None,98.236,None,None,None,None,50,381,50,1,0,"50,78,217,290,49","381,1344,290,672,720","50,50,50,50,50",1.0,0.0,"50,78,217,290,49,582,419,101,118,658","381,1344,290,672,720,2,1560,149,270,252","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,78,217,290,49,582,419,101,118,658,32,755,408,874,889,100,175,240,201,623","381,1344,290,672,720,2,1560,149,270,252,64,240,244,140,512,653,281,670,118,492","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_569,sync_421,sync_118,sync_900,sync_1070,sync_50,sync_59,sync_53,sync_190,sync_134,sync_388,sync_596,sync_358,sync_13,sync_69,sync_401,sync_696,sync_78,sync_241,sync_231,sync_175,sync_290,sync_1,add_728,del_492",1,None,None,None,42.331,None,1461,381,None,0,"1461,1325,819,373,29","381,1344,290,672,720",None,0.0,"1461,1325,819,373,29,276,149,381,751,1327","381,1344,290,672,720,2,1560,149,270,252",None,0.0,"1461,1325,819,373,29,276,149,381,751,1327,1258,506,520,295,44,755,670,1402,672,281","381,1344,290,672,720,2,1560,149,270,252,64,240,244,140,512,653,281,670,118,492",None,0.0,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",
6,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
7,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
8,targeted_uncategorized,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,1467,208,407,503,32,481,190,201,227,29,37,228,1121,230,100,79,538,298,334",None,2,None,None,105.299,None,None,None,None,50,100,50,1,0,"50,210,409,245,64","100,409,301,276,218","50,50,50,50,50",1.0,0.0,"50,210,409,245,64,226,874,472,162,503","100,409,301,276,218,245,538,162,23,192","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,210,409,245,64,226,874,472,162,503,192,391,67,434,90,102,10,255,614,137","100,409,301,276,218,245,538,162,23,192,54,937,113,136,101,157,541,102,202,321","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,68","sync_1673,sync_27,sync_101,sync_1316,sync_41,sync_292,sync_183,sync_294,sync_475,sync_507,sync_220,sync_205,sync_141,sync_532,sync_122,sync_25,sync_50,sync_436,sync_439,sync_346,sync_148,sync_655,sync_63,sync_321,sync_553,sync_48,sync_567,sync_210,sync_434,sync_390,sync_648,sync_167,sync_208,sync_407,sync_503,sync_32,sync_481,sync_190,sync_201,sync_227,sync_29,sync_37,sync_228,sync_111,sync_230,sync_100,sync_79,sync_538,sync_298,add_68,del_334",1,None,None,None,56.669,None,100,100,None,0,"100,162,276,101,54","100,409,301,276,218",None,0.0,"100,162,276,101,54,192,113,23,538,321","100,409,301,276,218,245,538,162,23,192",None,0.0,"100,162,276,101,54,192,113,23,538,321,202,240,409,58,102,201,218,245,157,119","100,409,301,276,218,245,538,162,23,192,54,937,113,136,101,157,541,102,202,321",None,0.0,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",
9,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
10,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
11,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
12,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,GRU4Rec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:30:35",EmptyDatasetError
