i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,targeted_uncategorized,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,503",None,1,None,None,247.966,None,None,None,None,50,472,50,1,0,"50,503,190,25,217","472,400,463,352,298","50,50,50,50,50",1.0,0.0,"50,503,190,25,217,356,31,358,696,32","472,400,463,352,298,218,735,102,103,32","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,503,190,25,217,356,31,358,696,32,210,874,601,53,162,240,255,409,218,863","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,106,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,add_106,del_463",1,None,None,None,45.28,None,749,472,None,0,"749,95,32,321,274","472,400,463,352,298",None,0.0,"749,95,32,321,274,322,409,102,217,35","472,400,463,352,298,218,735,102,103,32",None,0.0,"749,95,32,321,274,322,409,102,217,35,78,348,23,865,330,192,241,103,51,240","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348",None,0.0,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",
1,targeted_uncategorized,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,503",None,1,None,None,247.796,None,None,None,None,50,1539,50,1,0,"50,11,503,25,372","1539,790,498,769,447","50,50,50,50,50",1.0,0.0,"50,11,503,25,372,31,210,154,1197,673","1539,790,498,769,447,649,824,12,399,243","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,11,503,25,372,31,210,154,1197,673,53,358,190,356,181,306,142,696,428,502","1539,790,498,769,447,649,824,12,399,243,892,1622,210,935,306,1160,877,118,1220,142","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,503","sync_1671,sync_5,sync_882,sync_99,sync_586,sync_852,sync_336,sync_931,sync_1104,sync_392,sync_1480,sync_2,sync_207,sync_1117,sync_610,sync_864,sync_405,sync_117,sync_1422,sync_1018,sync_178,sync_1179,sync_1195,sync_244,sync_44,sync_956,sync_595,sync_991,sync_281,sync_1182,sync_1167,sync_1059,sync_73,sync_1282,sync_1385,sync_131,sync_658,sync_358,sync_142,sync_185,sync_205,sync_512,sync_88,sync_190,sync_201,sync_861,sync_86,sync_1220,sync_756,add_503,del_1014",1,None,None,None,2.72,None,50,1539,None,1,"50,11,503,25,372","1539,790,498,769,447",None,1.0,"50,11,503,25,372,31,210,154,1197,673","1539,790,498,769,447,649,824,12,399,243",None,1.0,"50,11,503,25,372,31,210,154,1197,673,53,358,190,356,181,306,142,696,428,502","1539,790,498,769,447,649,824,12,399,243,892,1622,210,935,306,1160,877,118,1220,142",None,1.0,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",
2,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",EmptyDatasetError
3,targeted_uncategorized,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,586,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1551",None,2,None,None,254.166,None,None,None,None,50,256,50,1,0,"50,503,756,90,59","256,953,631,1385,1673","50,50,50,50,50",1.0,0.0,"50,503,756,90,59,696,25,245,357,190","256,953,631,1385,1673,1282,120,610,1316,840","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,503,756,90,59,696,25,245,357,190,322,69,358,509,937,41,23,54,588,53","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,262","sync_260,sync_303,sync_46,sync_14,sync_1370,sync_87,sync_98,sync_614,sync_795,sync_487,sync_54,sync_939,sync_856,sync_584,sync_205,sync_802,sync_791,sync_121,sync_94,sync_248,sync_63,sync_416,sync_892,sync_960,sync_131,sync_158,sync_333,sync_23,sync_369,sync_759,sync_1167,sync_643,sync_1295,sync_1247,sync_932,sync_555,sync_586,sync_631,sync_959,sync_503,sync_1015,sync_474,sync_268,sync_9,sync_583,sync_1016,sync_492,sync_96,sync_1434,add_262,del_1282",1,None,None,None,2.443,None,326,256,None,0,"326,185,682,131,555","256,953,631,1385,1673",None,0.0,"326,185,682,131,555,262,716,340,86,808","256,953,631,1385,1673,1282,120,610,1316,840",None,0.0,"326,185,682,131,555,262,716,340,86,808,720,752,2,347,960,882,1003,5,891,99","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752",None,0.0,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",
4,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",EmptyDatasetError
5,targeted_uncategorized,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,401",None,1,None,None,224.532,None,None,None,None,50,2,50,1,0,"50,90,78,648,401","2,290,720,512,492","50,50,50,50,50",1.0,0.0,"50,90,78,648,401,13,863,601,25,696","2,290,720,512,492,1,158,653,61,96","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,90,78,648,401,13,863,601,25,696,303,1035,404,205,69,84,407,358,503,408","2,290,720,512,492,1,158,653,61,96,361,752,73,140,262,381,270,131,569,41","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,251,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_569,sync_421,sync_118,sync_900,sync_1070,sync_50,sync_59,sync_53,sync_190,sync_134,sync_388,sync_596,sync_358,sync_13,sync_69,sync_401,sync_696,sync_78,sync_241,sync_231,sync_175,sync_290,sync_1,add_251,del_492",1,None,None,None,85.127,None,67,2,None,0,"67,562,572,119,276","2,290,720,512,492",None,0.0,"67,562,572,119,276,241,201,274,261,245","2,290,720,512,492,1,158,653,61,96",None,0.0,"67,562,572,119,276,241,201,274,261,245,255,50,696,623,493,90,190,78,321,874","2,290,720,512,492,1,158,653,61,96,361,752,73,140,262,381,270,131,569,41",None,0.73,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",
6,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",EmptyDatasetError
7,targeted_uncategorized,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,103,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,95",None,2,None,None,246.467,None,None,None,None,50,1282,50,1,0,"50,733,865,94,535","1282,1316,1434,326,1099","50,50,50,50,50",1.0,0.0,"50,733,865,94,535,243,863,348,48,208","1282,1316,1434,326,1099,1431,951,631,682,131","50,50,50,50,50,50,50,50,50,50",1.0,0.0,"50,733,865,94,535,243,863,348,48,208,95,390,201,493,298,368,205,210,178,357","1282,1316,1434,326,1099,1431,951,631,682,131,5,923,808,262,185,745,1528,720,256,555","50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50",1.0,0.0,"(None, 10, 0)",None,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,280","sync_5,sync_720,sync_185,sync_945,sync_1230,sync_492,sync_131,sync_1283,sync_272,sync_711,sync_610,sync_555,sync_82,sync_1001,sync_799,sync_83,sync_699,sync_500,sync_337,sync_81,sync_379,sync_1069,sync_807,sync_54,sync_823,sync_45,sync_503,sync_795,sync_856,sync_939,sync_984,sync_487,sync_6,sync_832,sync_295,sync_704,sync_932,sync_609,sync_1099,sync_1180,sync_361,sync_134,sync_581,sync_244,sync_326,sync_864,sync_1282,sync_631,sync_1431,add_280,del_923",1,None,None,None,56.119,None,1018,1282,None,0,"1018,631,1167,262,253","1282,1316,1434,326,1099",None,0.0,"1018,631,1167,262,253,891,224,960,1406,354","1282,1316,1434,326,1099,1431,951,631,682,131",None,0.0,"1018,631,1167,262,253,891,224,960,1406,354,185,326,701,720,140,1615,586,808,12,1185","1282,1316,1434,326,1099,1431,951,631,682,131,5,923,808,262,185,745,1528,720,256,555",None,0.0,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",
8,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",EmptyDatasetError
9,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,50,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Fri, 07 Feb 2025 19:19:33",EmptyDatasetError
