i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,targeted_uncategorized,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,1610,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,242,168",None,3,None,None,201.799,None,None,None,None,411,472,411,1,0,"411,103,853,918,278","472,400,463,352,298","411,411,411,411,411",1.0,0.0,"411,103,853,918,278,1072,614,32,79,298","472,400,463,352,298,218,735,102,103,32","411,411,411,411,411,411,411,411,411,411",1.0,0.0,"411,103,853,918,278,1072,614,32,79,298,205,334,47,2,180,601,409,624,230,227","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348","411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411",1.0,0.0,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,168,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,add_168,del_463",1,None,None,None,2.411,None,47,472,None,0,"47,103,411,853,555","472,400,463,352,298",None,0.896,"47,103,411,853,555,180,205,32,227,298","472,400,463,352,298,218,735,102,103,32",None,0.949,"47,103,411,853,555,180,205,32,227,298,409,511,54,278,34,192,1269,230,424,614","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348",None,0.967,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",
1,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",EmptyDatasetError
2,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",EmptyDatasetError
3,targeted_uncategorized,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,327,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1479",None,2,None,None,205.228,None,None,None,None,411,256,411,1,0,"411,942,1479,1649,349","256,953,631,1385,1673","411,411,411,411,411",1.0,0.0,"411,942,1479,1649,349,746,1558,1417,417,857","256,953,631,1385,1673,1282,120,610,1316,840","411,411,411,411,411,411,411,411,411,411",1.0,0.0,"411,942,1479,1649,349,746,1558,1417,417,857,264,379,348,125,157,491,683,339,337,84","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752","411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411",1.0,0.0,"(None, 10, 0)",None,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1479","sync_260,sync_303,sync_46,sync_14,sync_1370,sync_87,sync_98,sync_614,sync_795,sync_487,sync_54,sync_939,sync_856,sync_584,sync_205,sync_802,sync_791,sync_121,sync_94,sync_248,sync_63,sync_416,sync_892,sync_960,sync_131,sync_158,sync_333,sync_23,sync_369,sync_759,sync_1167,sync_643,sync_1295,sync_1247,sync_932,sync_555,sync_586,sync_631,sync_959,sync_503,sync_1015,sync_474,sync_268,sync_9,sync_583,sync_1016,sync_492,sync_96,sync_1434,add_1479,del_1282",1,None,None,None,2.394,None,411,256,None,1,"411,942,1479,1649,349","256,953,631,1385,1673",None,1.0,"411,942,1479,1649,349,746,1417,1558,417,857","256,953,631,1385,1673,1282,120,610,1316,840",None,1.0,"411,942,1479,1649,349,746,1417,1558,417,857,348,157,125,683,1113,379,491,264,337,84","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752",None,1.0,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",
4,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",EmptyDatasetError
5,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",EmptyDatasetError
6,targeted_uncategorized,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,363,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,1508",None,2,None,None,205.354,None,None,None,None,411,326,411,1,0,"411,734,211,1015,143","326,262,720,2,716","411,411,411,411,411",1.0,0.0,"411,734,211,1015,143,466,255,754,545,1508","326,262,720,2,716,682,131,86,340,185","411,411,411,411,411,411,411,411,411,411",1.0,0.0,"411,734,211,1015,143,466,255,754,545,1508,146,85,1106,749,151,348,671,741,196,658","326,262,720,2,716,682,131,86,340,185,798,316,667,96,101,1168,752,557,966,492","411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411",1.0,0.0,"(None, 10, 0)",None,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,41","sync_557,sync_457,sync_527,sync_459,sync_245,sync_63,sync_339,sync_77,sync_136,sync_167,sync_9,sync_1057,sync_593,sync_432,sync_378,sync_779,sync_34,sync_232,sync_322,sync_780,sync_254,sync_574,sync_346,sync_436,sync_265,sync_62,sync_974,sync_1123,sync_469,sync_55,sync_608,sync_67,sync_754,sync_310,sync_158,sync_13,sync_1238,sync_96,sync_352,sync_255,sync_318,sync_492,sync_146,sync_434,sync_547,sync_175,sync_51,sync_530,sync_1064,add_41,del_326",1,None,None,None,41.904,None,41,326,None,0,"41,512,961,752,405","326,262,720,2,716",None,0.0,"41,512,961,752,405,270,720,262,96,1252","326,262,720,2,716,682,131,86,340,185",None,0.0,"41,512,961,752,405,270,720,262,96,1252,140,158,73,609,281,891,99,653,269,221","326,262,720,2,716,682,131,86,340,185,798,316,667,96,101,1168,752,557,966,492",None,0.0,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",
7,targeted_uncategorized,None,None,None,None,None,None,None,None,None,None,None,None,None,None,411,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"(None, 10, 0)",None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",EmptyDatasetError
8,targeted_uncategorized,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,1558",None,1,None,None,206.031,None,None,None,None,411,57,411,1,0,"411,746,157,227,121","57,167,434,334,58","411,411,411,411,411",1.0,0.0,"411,746,157,227,121,585,123,615,349,29","57,167,434,334,58,481,180,232,472,230","411,411,411,411,411,411,411,411,411,411",1.0,0.0,"411,746,157,227,121,585,123,615,349,29,13,27,141,400,103,648,404,358,503,84","57,167,434,334,58,481,180,232,472,230,245,27,503,937,192,276,157,322,248,101","411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411",1.0,0.0,"(None, 10, 0)",None,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,1558","sync_1673,sync_27,sync_101,sync_1316,sync_41,sync_292,sync_183,sync_294,sync_475,sync_507,sync_220,sync_205,sync_141,sync_532,sync_122,sync_25,sync_50,sync_436,sync_439,sync_346,sync_148,sync_655,sync_63,sync_321,sync_553,sync_48,sync_567,sync_210,sync_434,sync_390,sync_648,sync_167,sync_208,sync_407,sync_503,sync_32,sync_481,sync_190,sync_201,sync_227,sync_29,sync_37,sync_228,sync_111,sync_230,sync_100,sync_79,sync_538,sync_298,add_1558,del_334",1,None,None,None,2.373,None,411,57,None,1,"411,746,157,227,121","57,167,434,334,58",None,1.0,"411,746,157,227,121,585,123,615,349,29","57,167,434,334,58,481,180,232,472,230",None,1.0,"411,746,157,227,121,585,123,615,349,29,13,27,141,400,103,648,404,358,503,84","57,167,434,334,58,481,180,232,472,230,245,27,503,937,192,276,157,322,248,101",None,1.0,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",
9,targeted_uncategorized,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,1320,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,909",None,2,None,None,203.533,None,None,None,None,411,157,411,1,0,"411,57,157,113,409","157,248,180,167,321","411,411,411,411,411",1.0,0.0,"411,57,157,113,409,103,348,114,136,180","157,248,180,167,321,623,292,79,330,368","411,411,411,411,411,411,411,411,411,411",1.0,0.0,"411,57,157,113,409,103,348,114,136,180,312,889,27,202,310,23,221,497,265,58","157,248,180,167,321,623,292,79,330,368,102,97,57,101,439,100,424,312,390,255","411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411",1.0,0.0,"(None, 10, 0)",None,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,909","sync_388,sync_936,sync_303,sync_578,sync_1295,sync_404,sync_121,sync_18,sync_25,sync_782,sync_69,sync_553,sync_260,sync_104,sync_137,sync_345,sync_279,sync_84,sync_365,sync_191,sync_24,sync_152,sync_201,sync_409,sync_472,sync_1038,sync_572,sync_241,sync_157,sync_175,sync_30,sync_461,sync_906,sync_240,sync_67,sync_239,sync_102,sync_623,sync_842,sync_568,sync_217,sync_32,sync_321,sync_450,sync_138,sync_101,sync_457,sync_242,sync_27,add_909,del_424",1,None,None,None,2.38,None,57,157,None,0,"57,157,113,409,103","157,248,180,167,321",None,0.0,"57,157,113,409,103,348,136,312,411,27","157,248,180,167,321,623,292,79,330,368",None,0.647,"57,157,113,409,103,348,136,312,411,27,889,180,114,202,497,257,310,23,221,477","157,248,180,167,321,623,292,79,330,368,102,97,57,101,439,100,424,312,390,255",None,0.795,True,SASRec,ml-100k,411,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,"Sun, 09 Feb 2025 18:10:46",
