i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
0,genetic,None,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1064,1273,289,462,165",None,1,None,None,207.472,None,None,None,None,325,521,None,0,None,"325,60,524,923,439","521,42,439,375,140",None,0.057,None,"325,60,524,923,439,329,227,367,521,58","521,42,439,375,140,53,157,524,58,492",None,0.106,None,"325,60,524,923,439,329,227,367,521,58,42,897,375,53,1229,256,243,291,133,140","521,42,439,375,140,53,157,524,58,492,510,438,152,766,329,923,327,291,40,21",None,0.132,None,"(None, 10, 0)",None,None,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,1","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_1,del_165",1,None,None,None,165.851,None,281,521,None,0,"281,1467,42,771,1587","521,42,439,375,140",None,0.107,"281,1467,42,771,1587,862,1229,1116,140,97","521,42,439,375,140,53,157,524,58,492",None,0.086,"281,1467,42,771,1587,862,1229,1116,140,97,148,1298,429,521,327,510,375,526,492,384","521,42,439,375,140,53,157,524,58,492,510,438,152,766,329,923,327,291,40,21",None,0.092,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
1,genetic,None,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,568,719",None,1,None,None,207.827,None,None,None,None,612,10,None,0,None,"612,630,339,39,663","10,339,612,1254,719",None,0.164,None,"612,630,339,39,663,1159,1254,322,45,175","10,339,612,1254,719,662,630,1196,421,247",None,0.142,None,"612,630,339,39,663,1159,1254,322,45,175,116,172,125,421,435,216,133,111,24,1466","10,339,612,1254,719,662,630,1196,421,247,560,322,1241,840,24,260,168,1093,52,1238",None,0.114,None,"(None, 10, 0)",None,None,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,9","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,add_9,del_719",1,None,None,None,150.811,None,10,10,None,1,"10,727,1196,610,339","10,339,612,1254,719",None,0.393,"10,727,1196,610,339,630,1279,618,9,1452","10,339,612,1254,719,662,630,1196,421,247",None,0.303,"10,727,1196,610,339,630,1279,618,9,1452,1254,724,662,589,1238,536,612,961,720,563","10,339,612,1254,719,662,630,1196,421,247,560,322,1241,840,24,260,168,1093,52,1238",None,0.22,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
2,genetic,None,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1341,207,540,412,2475,1616,244",None,1,None,None,181.599,None,None,None,None,207,135,None,0,None,"207,135,117,771,8","135,117,771,207,41",None,0.398,None,"207,135,117,771,8,105,548,41,178,171","135,117,771,207,41,548,23,178,185,171",None,0.417,None,"207,135,117,771,8,105,548,41,178,171,767,23,185,176,506,757,316,634,382,798","135,117,771,207,41,548,23,178,185,171,176,316,382,8,105,1121,276,16,634,757",None,0.337,None,"(None, 10, 0)",None,None,"154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,244","154,799,1341,65,172,214,184,536,1463,598,274,1510,1034,207,540,412,2475,1616,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_154,sync_799,sync_1341,sync_65,sync_172,sync_214,sync_184,sync_536,sync_1463,sync_598,sync_274,sync_1510,sync_1034,sync_207,sync_540,sync_412,sync_2475,sync_1616,add_1,del_244",1,None,None,None,254.382,None,105,135,None,0,"105,207,8,767,171","135,117,771,207,41",None,0.049,"105,207,8,767,171,135,634,771,185,1530","135,117,771,207,41,548,23,178,185,171",None,0.163,"105,207,8,767,171,135,634,771,185,1530,1349,178,598,276,106,168,176,175,117,1","135,117,771,207,41,548,23,178,185,171,176,316,382,8,105,1121,276,16,634,757",None,0.142,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
3,genetic,None,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,382,971,677,1004,587,841,1475,656,295",None,1,None,None,213.108,None,None,None,None,677,1004,None,0,None,"677,587,113,656,1004","1004,677,587,656,113",None,0.449,None,"677,587,113,656,1004,768,156,647,1017,529","1004,677,587,656,113,156,1120,647,768,725",None,0.417,None,"677,587,113,656,1004,768,156,647,1017,529,1019,592,433,755,539,857,784,738,190,725","1004,677,587,656,113,156,1120,647,768,725,1005,433,749,738,857,1019,1001,529,604,1017",None,0.329,None,"(None, 10, 0)",None,None,"207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,295","207,382,771,1622,200,178,135,316,1309,185,23,866,2495,724,1121,1493,649,697,1652,2456,1664,634,548,1595,97,45,612,999,744,78,749,377,715,990,991,616,1009,1006,734,539,65,323,971,677,1004,587,841,1475,656,1","sync_207,sync_382,sync_771,sync_1622,sync_200,sync_178,sync_135,sync_316,sync_1309,sync_185,sync_23,sync_866,sync_2495,sync_724,sync_1121,sync_1493,sync_649,sync_697,sync_1652,sync_2456,sync_1664,sync_634,sync_548,sync_1595,sync_97,sync_45,sync_612,sync_999,sync_744,sync_78,sync_749,sync_377,sync_715,sync_990,sync_991,sync_616,sync_1009,sync_1006,sync_734,sync_539,sync_65,sync_323,sync_971,sync_677,sync_1004,sync_587,sync_841,sync_1475,sync_656,add_1,del_295",1,None,None,None,189.374,None,612,1004,None,0,"612,45,560,995,125","1004,677,587,656,113",None,0.0,"612,45,560,995,125,97,207,662,421,767","1004,677,587,656,113,156,1120,647,768,725",None,0.0,"612,45,560,995,125,97,207,662,421,767,435,663,670,1,771,744,487,175,10,8","1004,677,587,656,113,156,1120,647,768,725,1005,433,749,738,857,1019,1001,529,604,1017",None,0.0,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
4,genetic,None,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058","755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1309,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058",None,1,None,None,209.465,None,None,None,None,935,1064,None,0,None,"935,1064,1185,1095,930","1064,935,1185,930,1095",None,0.585,None,"935,1064,1185,1095,930,1727,1054,2021,1104,1096","1064,935,1185,930,1095,1054,1727,1104,2021,1724",None,0.523,None,"935,1064,1185,1095,930,1727,1054,2021,1104,1096,1134,1979,1724,879,1718,1243,1656,1720,1058,1251","1064,935,1185,930,1095,1054,1727,1104,2021,1724,879,1718,1979,1134,1656,1251,1720,1096,1990,1717",None,0.435,None,"(None, 10, 0)",None,None,"755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,1058","755,87,1008,1842,1191,1725,2014,1251,760,1838,606,1716,108,1260,1210,1327,1723,565,1064,1724,134,1727,967,1134,2017,879,955,1656,1185,2783,1715,1190,2165,1837,1054,2959,1720,1030,1096,1990,1243,1979,627,2674,1049,2021,2976,3366,935,3155","sync_755,sync_87,sync_1008,sync_1842,sync_1191,sync_1725,sync_2014,sync_1251,sync_760,sync_1838,sync_606,sync_1716,sync_108,sync_1260,sync_1210,sync_1327,sync_1723,sync_565,sync_1064,sync_1724,sync_134,sync_1727,sync_967,sync_1134,sync_2017,sync_879,sync_955,sync_1656,sync_1185,sync_2783,sync_1715,sync_1190,sync_2165,sync_1837,sync_1054,sync_2959,sync_1720,sync_1030,sync_1096,sync_1990,sync_1243,sync_1979,sync_627,sync_2674,sync_1049,sync_2021,sync_2976,sync_3366,sync_935,add_3155,del_1058",1,None,None,None,241.112,None,935,1064,None,0,"935,1095,930,1185,2021","1064,935,1185,930,1095",None,0.298,"935,1095,930,1185,2021,1064,1990,498,1979,879","1064,935,1185,930,1095,1054,1727,1104,2021,1724",None,0.243,"935,1095,930,1185,2021,1064,1990,498,1979,879,1724,1085,1727,10,612,22,477,1049,2168,1054","1064,935,1185,930,1095,1054,1727,1104,2021,1724,879,1718,1979,1134,1656,1251,1720,1096,1990,1717",None,0.217,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
5,genetic,None,"1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055","1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2014,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055",None,1,None,None,208.568,None,None,None,None,1400,1852,None,0,None,"1400,1852,1867,1092,2137","1852,1400,1867,1092,2137",None,0.723,None,"1400,1852,1867,1092,2137,2960,2263,2206,1220,2607","1852,1400,1867,1092,2137,2263,2960,2206,2055,936",None,0.615,None,"1400,1852,1867,1092,2137,2960,2263,2206,1220,2607,2055,1859,1170,936,2687,2879,2883,1416,1153,2115","1852,1400,1867,1092,2137,2263,2960,2206,2055,936,2607,1220,2687,2542,1859,1153,1170,944,1416,2883",None,0.51,None,"(None, 10, 0)",None,None,"1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2055","1346,669,648,198,1315,1334,423,1342,658,1773,1380,1175,1089,908,622,2892,3284,2469,2797,811,914,576,2885,2147,2609,1834,2828,1383,1181,700,2206,182,1771,1318,1867,1092,2115,1608,936,1057,1109,2883,1826,2607,1153,1138,1204,2544,2137,2","sync_1346,sync_669,sync_648,sync_198,sync_1315,sync_1334,sync_423,sync_1342,sync_658,sync_1773,sync_1380,sync_1175,sync_1089,sync_908,sync_622,sync_2892,sync_3284,sync_2469,sync_2797,sync_811,sync_914,sync_576,sync_2885,sync_2147,sync_2609,sync_1834,sync_2828,sync_1383,sync_1181,sync_700,sync_2206,sync_182,sync_1771,sync_1318,sync_1867,sync_1092,sync_2115,sync_1608,sync_936,sync_1057,sync_1109,sync_2883,sync_1826,sync_2607,sync_1153,sync_1138,sync_1204,sync_2544,sync_2137,add_2,del_2055",1,None,None,None,219.204,None,11,1852,None,0,"11,391,34,31,390","1852,1400,1867,1092,2137",None,0.0,"11,391,34,31,390,36,26,924,332,2184","1852,1400,1867,1092,2137,2263,2960,2206,2055,936",None,0.0,"11,391,34,31,390,36,26,924,332,2184,2,1048,35,1317,1036,1046,2207,791,2185,3289","1852,1400,1867,1092,2137,2263,2960,2206,2055,936,2607,1220,2687,2542,1859,1153,1170,944,1416,2883",None,0.0,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
6,genetic,None,"3430,1371,658,595,24,339,1238,2572,1232,560,247,1250,744,1451,2233,1241,961,122,986,946","3430,1371,658,595,24,339,1238,2572,1232,560,247,1250,744,1451,2233,1241,961,122,986,986",None,1,None,None,181.929,None,None,None,None,339,961,None,0,None,"339,961,986,122,1238","961,339,122,986,247",None,0.434,None,"339,961,986,122,1238,1232,630,247,1450,1452","961,339,122,986,247,1232,630,1238,1450,1010",None,0.539,None,"339,961,986,122,1238,1232,630,247,1450,1452,1446,1254,1451,560,2233,1250,946,1241,1010,1196","961,339,122,986,247,1232,630,1238,1450,1010,946,1452,1446,1250,560,1254,1451,956,1241,2233",None,0.448,None,"(None, 10, 0)",None,None,"3430,1371,658,595,24,339,1238,2572,1232,560,247,1250,744,1451,2233,1241,961,122,986,946","3430,1371,658,595,24,339,1238,2572,1232,560,247,1250,744,1451,2233,1241,961,122,986,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_3430,sync_1371,sync_658,sync_595,sync_24,sync_339,sync_1238,sync_2572,sync_1232,sync_560,sync_247,sync_1250,sync_744,sync_1451,sync_2233,sync_1241,sync_961,sync_122,sync_986,add_2,del_946",1,None,None,None,300.177,None,961,961,None,1,"961,339,986,630,1232","961,339,122,986,247",None,0.626,"961,339,986,630,1232,1238,122,1452,247,1254","961,339,122,986,247,1232,630,1238,1450,1010",None,0.526,"961,339,986,630,1232,1238,122,1452,247,1254,560,1450,2233,956,1451,996,1663,1446,219,1241","961,339,122,986,247,1232,630,1238,1450,1010,946,1452,1446,1250,560,1254,1451,956,1241,2233",None,0.415,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
7,genetic,None,"1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,776","1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,810,1482,149,776",None,1,None,None,209.248,None,None,None,None,161,149,None,0,None,"161,61,127,892,149","149,59,896,190,118",None,0.068,None,"161,61,127,892,149,896,151,433,190,59","149,59,896,190,118,151,161,114,75,167",None,0.152,None,"161,61,127,892,149,896,151,433,190,59,121,118,1146,167,387,223,320,844,376,529","149,59,896,190,118,151,161,114,75,167,776,386,206,387,320,196,203,714,1042,1020",None,0.143,None,"(None, 10, 0)",None,None,"1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,776","1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,3","sync_1003,sync_426,sync_920,sync_502,sync_2043,sync_312,sync_219,sync_930,sync_892,sync_45,sync_125,sync_128,sync_140,sync_210,sync_435,sync_670,sync_93,sync_49,sync_137,sync_216,sync_217,sync_1155,sync_65,sync_209,sync_1229,sync_200,sync_644,sync_214,sync_211,sync_712,sync_1081,sync_278,sync_58,sync_1476,sync_196,sync_152,sync_111,sync_588,sync_1836,sync_151,sync_161,sync_896,sync_114,sync_121,sync_80,sync_156,sync_190,sync_1482,sync_149,add_3,del_776",1,None,None,None,193.516,None,386,149,None,0,"386,415,427,383,172","149,59,896,190,118",None,0.0,"386,415,427,383,172,1107,425,387,1529,111","149,59,896,190,118,151,161,114,75,167",None,0.0,"386,415,427,383,172,1107,425,387,1529,111,284,208,113,167,265,3,449,420,438,815","149,59,896,190,118,151,161,114,75,167,776,386,206,387,320,196,203,714,1042,1020",None,0.017,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
8,genetic,None,"1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047","1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1819,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047",None,1,None,None,208.246,None,None,None,None,15,38,None,0,None,"15,38,633,609,1047","38,15,633,1047,609",None,0.585,None,"15,38,633,609,1047,47,683,11,391,3","38,15,633,1047,609,47,683,391,11,3",None,0.663,None,"15,38,633,609,1047,47,683,11,391,3,636,415,46,610,597,2044,1863,613,1532,1624","38,15,633,1047,609,47,683,391,11,3,46,610,415,597,636,2044,1863,613,1532,1624",None,0.665,None,"(None, 10, 0)",None,None,"1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,1047","1518,563,178,2270,601,634,200,618,724,1002,41,8,176,643,1664,184,757,1648,1299,742,421,798,720,418,727,1762,719,796,1372,1159,1127,213,210,1536,214,274,1501,869,595,947,1112,1131,1926,1977,9,633,610,47,683,29","sync_1518,sync_563,sync_178,sync_2270,sync_601,sync_634,sync_200,sync_618,sync_724,sync_1002,sync_41,sync_8,sync_176,sync_643,sync_1664,sync_184,sync_757,sync_1648,sync_1299,sync_742,sync_421,sync_798,sync_720,sync_418,sync_727,sync_1762,sync_719,sync_796,sync_1372,sync_1159,sync_1127,sync_213,sync_210,sync_1536,sync_214,sync_274,sync_1501,sync_869,sync_595,sync_947,sync_1112,sync_1131,sync_1926,sync_1977,sync_9,sync_633,sync_610,sync_47,sync_683,add_29,del_1047",1,None,None,None,256.96,None,10,38,None,0,"10,610,9,415,532","38,15,633,1047,609",None,0.0,"10,610,9,415,532,3,219,630,727,694","38,15,633,1047,609,47,683,391,11,3",None,0.013,"10,610,9,415,532,3,219,630,727,694,11,798,15,1116,117,2042,589,500,41,207","38,15,633,1047,609,47,683,391,11,3,46,610,415,597,636,2044,1863,613,1532,1624",None,0.037,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
9,genetic,None,"421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,539","421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,635,187,1510,157,1532,243,1929,917,218,647,539",None,1,None,None,208.992,None,None,None,None,151,63,None,0,None,"151,118,27,568,1394","63,114,27,190,118",None,0.202,None,"151,118,27,568,1394,844,63,124,439,206","63,114,27,190,118,121,124,391,156,151",None,0.206,None,"151,118,27,568,1394,844,63,124,439,206,391,121,705,114,156,766,901,793,90,53","63,114,27,190,118,121,124,391,156,151,539,439,568,462,215,53,766,172,196,647",None,0.202,None,"(None, 10, 0)",None,None,"421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,539","421,1136,714,138,42,635,3013,2326,39,2204,762,1416,152,281,1853,211,744,1692,133,377,53,40,449,10,2042,172,23,549,793,8,274,317,56,1500,2164,1042,178,1385,27,65,187,1510,157,1532,243,1929,917,218,647,1","sync_421,sync_1136,sync_714,sync_138,sync_42,sync_635,sync_3013,sync_2326,sync_39,sync_2204,sync_762,sync_1416,sync_152,sync_281,sync_1853,sync_211,sync_744,sync_1692,sync_133,sync_377,sync_53,sync_40,sync_449,sync_10,sync_2042,sync_172,sync_23,sync_549,sync_793,sync_8,sync_274,sync_317,sync_56,sync_1500,sync_2164,sync_1042,sync_178,sync_1385,sync_27,sync_65,sync_187,sync_1510,sync_157,sync_1532,sync_243,sync_1929,sync_917,sync_218,sync_647,add_1,del_539",1,None,None,None,218.636,None,27,63,None,0,"27,53,281,766,42","63,114,27,190,118",None,0.057,"27,53,281,766,42,694,43,141,284,207","63,114,27,190,118,121,124,391,156,151",None,0.037,"27,53,281,766,42,694,43,141,284,207,14,214,995,140,124,175,125,148,97,438","63,114,27,190,118,121,124,391,156,151,539,439,568,462,215,53,766,172,196,647",None,0.034,True,BERT4Rec,ml-1m,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 31 Jan 2025 17:46:07"
