i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
0,genetic,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,53,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",None,1,None,None,289.068,None,None,None,None,436,158,None,0,None,"436,158,720,292,84","158,436,720,84,432",None,0.519,None,"436,158,720,292,84,131,61,432,205,137","158,436,720,84,432,292,131,61,185,298",None,0.456,None,"436,158,720,292,84,131,61,432,205,137,298,227,648,407,140,453,358,185,69,142","158,436,720,84,432,292,131,61,185,298,140,137,227,205,453,648,407,358,142,270",None,0.432,None,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,sync_463",0,None,None,None,49.666,None,158,158,None,1,"158,436,720,84,432","158,436,720,84,432",None,1.0,"158,436,720,84,432,292,131,61,185,298","158,436,720,84,432,292,131,61,185,298",None,1.0,"158,436,720,84,432,292,131,61,185,298,140,137,227,205,453,648,407,358,142,270","158,436,720,84,432,292,131,61,185,298,140,137,227,205,453,648,407,358,142,270",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
1,genetic,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,856,205,512,88,190,201,861,86,1220,756,1014",None,1,None,None,209.225,None,None,None,None,653,270,None,0,None,"653,88,61,154,270","270,653,354,1220,185",None,0.175,None,"653,88,61,154,270,358,771,118,207,802","270,653,354,1220,185,1185,246,492,88,840",None,0.122,None,"653,88,61,154,270,358,771,118,207,802,492,298,50,405,90,99,25,874,1220,13","270,653,354,1220,185,1185,246,492,88,840,555,154,358,405,131,2,207,158,105,118",None,0.145,None,"(None, 10, 0)",None,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1530","sync_1671,sync_5,sync_882,sync_99,sync_586,sync_852,sync_336,sync_931,sync_1104,sync_392,sync_1480,sync_2,sync_207,sync_1117,sync_610,sync_864,sync_405,sync_117,sync_1422,sync_1018,sync_178,sync_1179,sync_1195,sync_244,sync_44,sync_956,sync_595,sync_991,sync_281,sync_1182,sync_1167,sync_1059,sync_73,sync_1282,sync_1385,sync_131,sync_658,sync_358,sync_142,sync_185,sync_205,sync_512,sync_88,sync_190,sync_201,sync_861,sync_86,sync_1220,sync_756,add_1530,del_1014",1,None,None,None,90.348,None,270,270,None,1,"270,653,840,253,131","270,653,354,1220,185",None,0.553,"270,653,840,253,131,185,50,861,118,354","270,653,354,1220,185,1185,246,492,88,840",None,0.423,"270,653,840,253,131,185,50,861,118,354,116,105,52,1024,358,970,243,512,90,1220","270,653,354,1220,185,1185,246,492,88,840,555,154,358,405,131,2,207,158,105,118",None,0.299,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
2,genetic,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,135,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",None,1,None,None,181.023,None,None,None,None,311,1055,None,0,None,"311,1055,446,685,728","1055,311,685,1296,728",None,0.493,None,"311,1055,446,685,728,1296,1215,821,364,946","1055,311,685,1296,728,446,946,364,529,821",None,0.445,None,"311,1055,446,685,728,1296,1215,821,364,946,349,529,890,303,144,34,16,834,579,835","1055,311,685,1296,728,446,946,364,529,821,349,1215,144,579,1310,303,890,835,834,208",None,0.408,None,"(None, 10, 0)",None,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,46","sync_9,sync_66,sync_480,sync_415,sync_821,sync_938,sync_194,sync_522,sync_608,sync_14,sync_1113,sync_753,sync_193,sync_984,sync_364,sync_800,sync_1049,sync_206,sync_779,sync_765,sync_65,sync_1241,sync_561,sync_1020,sync_835,sync_1055,sync_8,sync_71,sync_160,sync_878,sync_123,sync_876,sync_233,sync_203,sync_1096,sync_1214,sync_1063,sync_1349,sync_314,sync_144,sync_38,sync_258,sync_655,sync_135,sync_4,sync_57,sync_96,sync_568,sync_133,add_46,del_386",1,None,None,None,166.587,None,303,1055,None,0,"303,1564,1310,1546,673","1055,311,685,1296,728",None,0.0,"303,1564,1310,1546,673,483,90,503,1019,1001","1055,311,685,1296,728,446,946,364,529,821",None,0.0,"303,1564,1310,1546,673,483,90,503,1019,1001,180,728,205,568,34,313,50,210,428,134","1055,311,685,1296,728,446,946,364,529,821,349,1215,144,579,1310,303,890,835,834,208",None,0.012,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
3,genetic,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,92,583,1016,492,96,1434,1282",None,1,None,None,206.933,None,None,None,None,953,1018,None,0,None,"953,1122,1018,1190,336","1018,1122,1385,953,336",None,0.495,None,"953,1122,1018,1190,336,131,555,262,631,840","1018,1122,1385,953,336,1190,555,1293,631,682",None,0.487,None,"953,1122,1018,1190,336,131,555,262,631,840,970,720,1385,945,1293,82,598,1168,290,492","1018,1122,1385,953,336,1190,555,1293,631,682,840,262,131,1481,970,1197,256,326,945,1168",None,0.382,None,"(None, 10, 0)",None,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","sync_260,sync_303,sync_46,sync_14,sync_1370,sync_87,sync_98,sync_614,sync_795,sync_487,sync_54,sync_939,sync_856,sync_584,sync_205,sync_802,sync_791,sync_121,sync_94,sync_248,sync_63,sync_416,sync_892,sync_960,sync_131,sync_158,sync_333,sync_23,sync_369,sync_759,sync_1167,sync_643,sync_1295,sync_1247,sync_932,sync_555,sync_586,sync_631,sync_959,sync_503,sync_1015,sync_474,sync_268,sync_9,sync_583,sync_1016,sync_492,sync_96,sync_1434,sync_1282",0,None,None,None,60.885,None,1018,1018,None,1,"1018,1122,1385,953,336","1018,1122,1385,953,336",None,1.0,"1018,1122,1385,953,336,1190,555,1293,631,682","1018,1122,1385,953,336,1190,555,1293,631,682",None,1.0,"1018,1122,1385,953,336,1190,555,1293,631,682,840,262,131,1481,970,1197,256,326,945,1168","1018,1122,1385,953,336,1190,555,1293,631,682,840,262,131,1481,970,1197,256,326,945,1168",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
4,genetic,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,951,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",None,1,None,None,202.662,None,None,None,None,312,355,None,0,None,"312,355,802,7,358","355,312,326,358,555",None,0.35,None,"312,355,802,7,358,555,162,500,326,257","355,312,326,358,555,7,802,131,357,103",None,0.326,None,"312,355,802,7,358,555,162,500,326,257,103,357,507,131,55,610,183,61,53,96","355,312,326,358,555,7,802,131,357,103,507,257,162,500,55,61,53,183,1024,631",None,0.36,None,"(None, 10, 0)",None,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,18","sync_376,sync_699,sync_297,sync_533,sync_250,sync_369,sync_979,sync_1114,sync_927,sync_205,sync_41,sync_348,sync_102,sync_267,sync_116,sync_262,sync_185,sync_5,sync_1117,sync_405,sync_86,sync_891,sync_956,sync_326,sync_368,sync_322,sync_367,sync_671,sync_1211,sync_64,sync_134,sync_383,sync_372,sync_104,sync_1207,sync_88,sync_484,sync_388,sync_873,sync_1183,sync_1195,sync_526,sync_850,sync_492,sync_2,sync_308,sync_555,sync_720,sync_374,add_18,del_774",1,None,None,None,91.379,None,682,355,None,0,"682,326,555,131,492","355,312,326,358,555",None,0.129,"682,326,555,131,492,1024,336,270,262,185","355,312,326,358,555,7,802,131,357,103",None,0.097,"682,326,555,131,492,1024,336,270,262,185,405,116,383,1121,253,331,1043,720,432,5","355,312,326,358,555,7,802,131,357,103,507,257,162,500,55,61,53,183,1024,631",None,0.065,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
5,genetic,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,8,492",None,1,None,None,163.144,None,None,None,None,562,381,None,0,None,"562,167,755,368,572","381,1344,290,672,720",None,0.0,None,"562,167,755,368,572,240,419,175,201,32","381,1344,290,672,720,2,1560,149,270,252",None,0.0,None,"562,167,755,368,572,240,419,175,201,32,461,334,330,79,298,101,119,109,187,658","381,1344,290,672,720,2,1560,149,270,252,64,240,244,140,512,653,281,670,118,492",None,0.005,None,"(None, 10, 0)",None,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_569,sync_421,sync_118,sync_900,sync_1070,sync_50,sync_59,sync_53,sync_190,sync_134,sync_388,sync_596,sync_358,sync_13,sync_69,sync_401,sync_696,sync_78,sync_241,sync_231,sync_175,sync_290,sync_1,sync_492",0,None,None,None,100.42,None,381,381,None,1,"381,1344,290,672,720","381,1344,290,672,720",None,1.0,"381,1344,290,672,720,2,1560,149,270,252","381,1344,290,672,720,2,1560,149,270,252",None,1.0,"381,1344,290,672,720,2,1560,149,270,252,64,240,244,140,512,653,281,670,118,492","381,1344,290,672,720,2,1560,149,270,252,64,240,244,140,512,653,281,670,118,492",None,1.0,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
6,genetic,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,63,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326",None,1,None,None,190.296,None,None,None,None,185,326,None,0,None,"185,326,105,49,262","326,185,105,653,49",None,0.512,None,"185,326,105,49,262,61,653,303,1160,405","326,185,105,653,49,61,262,405,720,303",None,0.503,None,"185,326,105,49,262,61,653,303,1160,405,154,341,720,121,407,566,12,492,13,861","326,185,105,653,49,61,262,405,720,303,341,1160,121,154,407,492,158,310,67,13",None,0.454,None,"(None, 10, 0)",None,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,108","sync_557,sync_457,sync_527,sync_459,sync_245,sync_63,sync_339,sync_77,sync_136,sync_167,sync_9,sync_1057,sync_593,sync_432,sync_378,sync_779,sync_34,sync_232,sync_322,sync_780,sync_254,sync_574,sync_346,sync_436,sync_265,sync_62,sync_974,sync_1123,sync_469,sync_55,sync_608,sync_67,sync_754,sync_310,sync_158,sync_13,sync_1238,sync_96,sync_352,sync_255,sync_318,sync_492,sync_146,sync_434,sync_547,sync_175,sync_51,sync_530,sync_1064,add_108,del_326",1,None,None,None,102.218,None,341,326,None,0,"341,303,310,61,269","326,185,105,653,49",None,0.0,"341,303,310,61,269,13,83,121,492,434","326,185,105,653,49,61,262,405,720,303",None,0.033,"341,303,310,61,269,13,83,121,492,434,405,322,407,12,105,553,865,99,158,404","326,185,105,653,49,61,262,405,720,303,341,1160,121,154,407,492,158,310,67,13",None,0.08,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
7,genetic,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,856,1282,631,1431,923",None,1,None,None,207.555,None,None,None,None,1282,642,None,0,None,"1282,131,642,631,492","642,131,1282,1431,631",None,0.449,None,"1282,131,642,631,492,116,262,326,105,682","642,131,1282,1431,631,682,262,105,492,1344",None,0.428,None,"1282,131,642,631,492,116,262,326,105,682,720,1344,5,960,185,244,253,1156,1167,423","642,131,1282,1431,631,682,262,105,492,1344,116,244,1167,253,423,5,960,326,1018,555",None,0.345,None,"(None, 10, 0)",None,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,35","sync_5,sync_720,sync_185,sync_945,sync_1230,sync_492,sync_131,sync_1283,sync_272,sync_711,sync_610,sync_555,sync_82,sync_1001,sync_799,sync_83,sync_699,sync_500,sync_337,sync_81,sync_379,sync_1069,sync_807,sync_54,sync_823,sync_45,sync_503,sync_795,sync_856,sync_939,sync_984,sync_487,sync_6,sync_832,sync_295,sync_704,sync_932,sync_609,sync_1099,sync_1180,sync_361,sync_134,sync_581,sync_244,sync_326,sync_864,sync_1282,sync_631,sync_1431,add_35,del_923",1,None,None,None,100.828,None,485,642,None,0,"485,262,631,405,492","642,131,1282,1431,631",None,0.044,"485,262,631,405,492,105,5,861,945,512","642,131,1282,1431,631,682,262,105,492,1344",None,0.077,"485,262,631,405,492,105,5,861,945,512,1018,897,808,244,961,326,623,852,289,595","642,131,1282,1431,631,682,262,105,492,1344,116,244,1167,253,423,5,960,326,1018,555",None,0.081,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
8,genetic,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,739,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",None,1,None,None,211.674,None,None,None,None,409,100,None,0,None,"409,100,245,301,192","100,409,301,276,218",None,0.361,None,"409,100,245,301,192,276,23,937,162,321","100,409,301,276,218,245,538,162,23,192",None,0.353,None,"409,100,245,301,192,276,23,937,162,321,218,538,102,391,113,157,54,58,101,284","100,409,301,276,218,245,538,162,23,192,54,937,113,136,101,157,541,102,202,321",None,0.32,None,"(None, 10, 0)",None,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,20","sync_1673,sync_27,sync_101,sync_1316,sync_41,sync_292,sync_183,sync_294,sync_475,sync_507,sync_220,sync_205,sync_141,sync_532,sync_122,sync_25,sync_50,sync_436,sync_439,sync_346,sync_148,sync_655,sync_63,sync_321,sync_553,sync_48,sync_567,sync_210,sync_434,sync_390,sync_648,sync_167,sync_208,sync_407,sync_503,sync_32,sync_481,sync_190,sync_201,sync_227,sync_29,sync_37,sync_228,sync_111,sync_230,sync_100,sync_79,sync_538,sync_298,add_20,del_334",1,None,None,None,149.801,None,541,100,None,0,"541,276,538,162,100","100,409,301,276,218",None,0.117,"541,276,538,162,100,54,53,23,472,58","100,409,301,276,218,245,538,162,23,192",None,0.137,"541,276,538,162,100,54,53,23,472,58,321,157,865,245,409,218,192,319,301,391","100,409,301,276,218,245,538,162,23,192,54,937,113,136,101,157,541,102,202,321",None,0.133,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
9,genetic,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,172,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424",None,1,None,None,327.97,None,None,None,None,103,27,None,0,None,"103,310,27,257,362","27,310,103,102,817",None,0.384,None,"103,310,27,257,362,102,89,23,32,308","27,310,103,102,817,545,58,434,32,192",None,0.347,None,"103,310,27,257,362,102,89,23,32,308,817,151,192,58,54,115,221,802,217,477","27,310,103,102,817,545,58,434,32,192,151,183,221,368,157,481,51,1050,257,54",None,0.283,None,"(None, 10, 0)",None,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,10","sync_388,sync_936,sync_303,sync_578,sync_1295,sync_404,sync_121,sync_18,sync_25,sync_782,sync_69,sync_553,sync_260,sync_104,sync_137,sync_345,sync_279,sync_84,sync_365,sync_191,sync_24,sync_152,sync_201,sync_409,sync_472,sync_1038,sync_572,sync_241,sync_157,sync_175,sync_30,sync_461,sync_906,sync_240,sync_67,sync_239,sync_102,sync_623,sync_842,sync_568,sync_217,sync_32,sync_321,sync_450,sync_138,sync_101,sync_457,sync_242,sync_27,add_10,del_424",1,None,None,None,110.728,None,310,27,None,0,"310,27,32,221,192","27,310,103,102,817",None,0.277,"310,27,32,221,192,481,58,103,545,434","27,310,103,102,817,545,58,434,32,192",None,0.334,"310,27,32,221,192,481,58,103,545,434,817,102,217,368,362,157,151,85,348,162","27,310,103,102,817,545,58,434,32,192,151,183,221,368,157,481,51,1050,257,54",None,0.297,True,GRU4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Sat, 01 Feb 2025 15:13:38"
