i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,genetic,nan,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,493",nan,1,nan,nan,126.32.00,nan,nan,nan,nan,330,32,nan,0,nan,"330,289,218,368,101","32,865,397,298,201",nan,0.0,nan,"330,289,218,368,101,434,298,180,312,32","32,865,397,298,201,180,248,167,100,406",nan,1.12,nan,"330,289,218,368,101,434,298,180,312,32,406,102,94,255,100,352,95,192,113,27","32,865,397,298,201,180,248,167,100,406,896,101,255,400,218,368,94,367,217,330",nan,0.11,nan,"(None, 10, 0)",nan,nan,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,231,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,add_231,del_463",1,nan,nan,nan,109.24.00,nan,32,32,nan,1,"32,298,289,255,368","32,865,397,298,201",nan,6.28,"32,298,289,255,368,201,192,330,101,102","32,865,397,298,201,180,248,167,100,406",nan,4.54,"32,298,289,255,368,201,192,330,101,102,100,218,248,103,240,241,167,312,180,613","32,865,397,298,201,180,248,167,100,406,896,101,255,400,218,368,94,367,217,330",nan,4.07,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 17:59:39",nan
1,genetic,nan,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,458,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014",nan,1,nan,nan,215.28.00,nan,nan,nan,nan,951,852,nan,0,nan,"951,852,485,716,1183","852,951,485,1183,716",nan,9.45,nan,"951,852,485,716,1183,922,131,244,224,1406","852,951,485,1183,716,922,224,131,447,861",nan,8.37,nan,"951,852,485,716,1183,922,131,244,224,1406,1,447,861,306,956,628,178,929,891,1167","852,951,485,1183,716,922,224,131,447,861,244,1,306,178,929,1167,1406,891,74,628",nan,7.35,nan,"(None, 10, 0)",nan,nan,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1541","sync_1671,sync_5,sync_882,sync_99,sync_586,sync_852,sync_336,sync_931,sync_1104,sync_392,sync_1480,sync_2,sync_207,sync_1117,sync_610,sync_864,sync_405,sync_117,sync_1422,sync_1018,sync_178,sync_1179,sync_1195,sync_244,sync_44,sync_956,sync_595,sync_991,sync_281,sync_1182,sync_1167,sync_1059,sync_73,sync_1282,sync_1385,sync_131,sync_658,sync_358,sync_142,sync_185,sync_205,sync_512,sync_88,sync_190,sync_201,sync_861,sync_86,sync_1220,sync_756,add_1541,del_1014",1,nan,nan,nan,129.56.00,nan,631,852,nan,0,"631,951,185,892,610","852,951,485,1183,716",nan,3.34,"631,951,185,892,610,891,131,244,960,783","852,951,485,1183,716,922,224,131,447,861",nan,2.54,"631,951,185,892,610,891,131,244,960,783,492,5,1117,326,1399,1018,1099,926,555,1043","852,951,485,1183,716,922,224,131,447,861,244,1,306,178,929,1167,1406,891,74,628",nan,2.04,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:19:19",nan
2,genetic,nan,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1231,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",nan,1,nan,nan,209.56.00,nan,nan,nan,nan,1215,1110,nan,0,nan,"1215,135,1110,506,717","1110,617,599,1215,1360",nan,0.15,nan,"1215,135,1110,506,717,14,1107,566,144,1398","1110,617,599,1215,1360,3,14,795,655,135",nan,2.21,nan,"1215,135,1110,506,717,14,1107,566,144,1398,932,704,599,195,3,258,311,617,28,373","1110,617,599,1215,1360,3,14,795,655,135,785,566,704,144,1349,258,527,932,386,813",nan,2.59,nan,"(None, 10, 0)",nan,nan,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,47","sync_9,sync_66,sync_480,sync_415,sync_821,sync_938,sync_194,sync_522,sync_608,sync_14,sync_1113,sync_753,sync_193,sync_984,sync_364,sync_800,sync_1049,sync_206,sync_779,sync_765,sync_65,sync_1241,sync_561,sync_1020,sync_835,sync_1055,sync_8,sync_71,sync_160,sync_878,sync_123,sync_876,sync_233,sync_203,sync_1096,sync_1214,sync_1063,sync_1349,sync_314,sync_144,sync_38,sync_258,sync_655,sync_135,sync_4,sync_57,sync_96,sync_568,sync_133,add_47,del_386",1,nan,nan,nan,70.02.00,nan,655,1110,nan,0,"655,1218,717,1058,258","1110,617,599,1215,1360",nan,0.0,"655,1218,717,1058,258,974,1360,527,265,1110","1110,617,599,1215,1360,3,14,795,655,135",nan,0.58,"655,1218,717,1058,258,974,1360,527,265,1110,932,599,795,436,973,568,16,18,1366,311","1110,617,599,1215,1360,3,14,795,655,135,785,566,704,144,1349,258,527,932,386,813",nan,1.02,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
3,genetic,nan,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,93,1434,1282",nan,1,nan,nan,224.33.00,nan,nan,nan,nan,1282,131,nan,0,nan,"1282,131,631,1099,977","131,631,1282,783,892",nan,5.33,nan,"1282,131,631,1099,977,915,555,892,1185,1167","131,631,1282,783,892,960,185,1099,555,5",nan,4.33,nan,"1282,131,631,1099,977,915,555,892,1185,1167,949,783,262,1202,185,326,5,877,959,770","131,631,1282,783,892,960,185,1099,555,5,977,1182,262,326,891,951,1168,926,915,945",nan,4.11,nan,"(None, 10, 0)",nan,nan,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","sync_260,sync_303,sync_46,sync_14,sync_1370,sync_87,sync_98,sync_614,sync_795,sync_487,sync_54,sync_939,sync_856,sync_584,sync_205,sync_802,sync_791,sync_121,sync_94,sync_248,sync_63,sync_416,sync_892,sync_960,sync_131,sync_158,sync_333,sync_23,sync_369,sync_759,sync_1167,sync_643,sync_1295,sync_1247,sync_932,sync_555,sync_586,sync_631,sync_959,sync_503,sync_1015,sync_474,sync_268,sync_9,sync_583,sync_1016,sync_492,sync_96,sync_1434,sync_1282",0,nan,nan,nan,19.35,nan,131,131,nan,1,"131,631,1282,783,892","131,631,1282,783,892",nan,1.0,"131,631,1282,783,892,960,185,1099,555,5","131,631,1282,783,892,960,185,1099,555,5",nan,1.0,"131,631,1282,783,892,960,185,1099,555,5,977,1182,262,326,891,951,1168,926,915,945","131,631,1282,783,892,960,185,1099,555,5,977,1182,262,326,891,951,1168,926,915,945",nan,1.0,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
4,genetic,nan,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,826,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",nan,1,nan,nan,222.38.00,nan,nan,nan,nan,951,891,nan,0,nan,"951,852,891,1258,5","891,852,1230,1258,5",nan,10.04,nan,"951,852,891,1258,5,610,1230,492,474,312","891,852,1230,1258,5,492,951,474,610,357",nan,8.22,nan,"951,852,891,1258,5,610,1230,492,474,312,1003,357,1422,347,1235,185,1217,605,720,131","891,852,1230,1258,5,492,951,474,610,357,605,312,158,720,185,131,1422,36,262,270",nan,6.33,nan,"(None, 10, 0)",nan,nan,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,96","sync_376,sync_699,sync_297,sync_533,sync_250,sync_369,sync_979,sync_1114,sync_927,sync_205,sync_41,sync_348,sync_102,sync_267,sync_116,sync_262,sync_185,sync_5,sync_1117,sync_405,sync_86,sync_891,sync_956,sync_326,sync_368,sync_322,sync_367,sync_671,sync_1211,sync_64,sync_134,sync_383,sync_372,sync_104,sync_1207,sync_88,sync_484,sync_388,sync_873,sync_1183,sync_1195,sync_526,sync_850,sync_492,sync_2,sync_308,sync_555,sync_720,sync_374,add_96,del_774",1,nan,nan,nan,97.37.00,nan,720,891,nan,0,"720,262,5,99,2","891,852,1230,1258,5",nan,0.44,"720,262,5,99,2,882,131,105,270,951","891,852,1230,1258,5,492,951,474,610,357",nan,0.47,"720,262,5,99,2,882,131,105,270,951,1117,281,653,1003,492,41,253,1168,140,945","891,852,1230,1258,5,492,951,474,610,357,605,312,158,720,185,131,1422,36,262,270",nan,0.46,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
5,genetic,nan,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,147,290,1,492",nan,1,nan,nan,204.27.00,nan,nan,nan,nan,623,512,nan,0,nan,"623,167,326,405,185","512,720,185,682,492",nan,0.57,nan,"623,167,326,405,185,653,512,857,720,240","512,720,185,682,492,405,118,167,290,2",nan,2.02,nan,"623,167,326,405,185,653,512,857,720,240,32,1121,361,404,255,1109,2,180,357,593","512,720,185,682,492,405,118,167,290,2,808,50,326,190,73,158,52,1060,32,381",nan,1.31,nan,"(None, 10, 0)",nan,nan,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_569,sync_421,sync_118,sync_900,sync_1070,sync_50,sync_59,sync_53,sync_190,sync_134,sync_388,sync_596,sync_358,sync_13,sync_69,sync_401,sync_696,sync_78,sync_241,sync_231,sync_175,sync_290,sync_1,add_89,del_492",1,nan,nan,nan,78.53.00,nan,167,512,nan,0,"167,32,240,190,50","512,720,185,682,492",nan,0.0,"167,32,240,190,50,562,298,623,572,255","512,720,185,682,492,405,118,167,290,2",nan,0.09,"167,32,240,190,50,562,298,623,572,255,695,201,126,192,539,390,357,241,857,90","512,720,185,682,492,405,118,167,290,2,808,50,326,190,73,158,52,1060,32,381",nan,0.16,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
6,genetic,nan,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,255,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326",nan,1,nan,nan,226.28.00,nan,nan,nan,nan,631,262,nan,0,nan,"631,262,405,185,720","262,631,405,720,185",nan,9.45,nan,"631,262,405,185,720,140,178,270,682,41","262,631,405,720,185,140,178,270,383,41",nan,11.04,nan,"631,262,405,185,720,140,178,270,682,41,383,512,131,281,27,843,467,116,752,671","262,631,405,720,185,140,178,270,383,41,682,512,27,131,281,467,843,116,671,752",nan,10.43,nan,"(None, 10, 0)",nan,nan,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,113","sync_557,sync_457,sync_527,sync_459,sync_245,sync_63,sync_339,sync_77,sync_136,sync_167,sync_9,sync_1057,sync_593,sync_432,sync_378,sync_779,sync_34,sync_232,sync_322,sync_780,sync_254,sync_574,sync_346,sync_436,sync_265,sync_62,sync_974,sync_1123,sync_469,sync_55,sync_608,sync_67,sync_754,sync_310,sync_158,sync_13,sync_1238,sync_96,sync_352,sync_255,sync_318,sync_492,sync_146,sync_434,sync_547,sync_175,sync_51,sync_530,sync_1064,add_113,del_326",1,nan,nan,nan,101.19.00,nan,27,262,nan,0,"27,222,35,481,51","262,631,405,720,185",nan,0.0,"27,222,35,481,51,89,434,101,192,167","262,631,405,720,185,140,178,270,383,41",nan,0.0,"27,222,35,481,51,89,434,101,192,167,368,310,232,57,424,255,308,6,180,475","262,631,405,720,185,140,178,270,383,41,682,512,27,131,281,467,843,116,671,752",nan,0.03,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
7,genetic,nan,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1343,923",nan,1,nan,nan,230.19.00,nan,nan,nan,nan,49,1283,nan,0,nan,"49,852,1156,244,1200","1283,1282,1099,185,631",nan,0.0,nan,"49,852,1156,244,1200,73,246,579,609,1378","1283,1282,1099,185,631,1422,790,1167,891,131",nan,0.0,nan,"49,852,1156,244,1200,73,246,579,609,1378,879,1616,140,825,653,1596,1406,672,105,1001","1283,1282,1099,185,631,1422,790,1167,891,131,892,73,49,915,941,951,770,1217,492,555",nan,0.08,nan,"(None, 10, 0)",nan,nan,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,35","sync_5,sync_720,sync_185,sync_945,sync_1230,sync_492,sync_131,sync_1283,sync_272,sync_711,sync_610,sync_555,sync_82,sync_1001,sync_799,sync_83,sync_699,sync_500,sync_337,sync_81,sync_379,sync_1069,sync_807,sync_54,sync_823,sync_45,sync_503,sync_795,sync_856,sync_939,sync_984,sync_487,sync_6,sync_832,sync_295,sync_704,sync_932,sync_609,sync_1099,sync_1180,sync_361,sync_134,sync_581,sync_244,sync_326,sync_864,sync_1282,sync_631,sync_1431,add_35,del_923",1,nan,nan,nan,69.31.00,nan,131,1283,nan,0,"131,1282,1099,5,423","1283,1282,1099,185,631",nan,6.24,"131,1282,1099,5,423,185,262,631,716,610","1283,1282,1099,185,631,1422,790,1167,891,131",nan,5.08,"131,1282,1099,5,423,185,262,631,716,610,956,682,1182,326,1168,492,344,340,357,555","1283,1282,1099,185,631,1422,790,1167,891,131,892,73,49,915,941,951,770,1217,492,555",nan,3.59,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
8,genetic,nan,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,750,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",nan,1,nan,nan,227.53.00,nan,nan,nan,nan,228,321,nan,0,nan,"228,321,439,205,434","321,228,439,248,205",nan,8.32,nan,"228,321,439,205,434,248,57,365,23,232","321,228,439,248,205,57,30,434,245,365",nan,7.21,nan,"228,321,439,205,434,248,57,365,23,232,424,30,865,201,255,202,391,245,404,310","321,228,439,248,205,57,30,434,245,365,23,201,232,202,541,391,424,255,63,78",nan,6.15,nan,"(None, 10, 0)",nan,nan,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,129","sync_1673,sync_27,sync_101,sync_1316,sync_41,sync_292,sync_183,sync_294,sync_475,sync_507,sync_220,sync_205,sync_141,sync_532,sync_122,sync_25,sync_50,sync_436,sync_439,sync_346,sync_148,sync_655,sync_63,sync_321,sync_553,sync_48,sync_567,sync_210,sync_434,sync_390,sync_648,sync_167,sync_208,sync_407,sync_503,sync_32,sync_481,sync_190,sync_201,sync_227,sync_29,sync_37,sync_228,sync_111,sync_230,sync_100,sync_79,sync_538,sync_298,add_129,del_334",1,nan,nan,nan,100.02.00,nan,228,321,nan,0,"228,205,321,201,78","321,228,439,248,205",nan,4.13,"228,205,321,201,78,391,248,365,255,1029","321,228,439,248,205,57,30,434,245,365",nan,3.29,"228,205,321,201,78,391,248,365,255,1029,648,434,50,23,503,57,232,298,113,30","321,228,439,248,205,57,30,434,245,365,23,201,232,202,541,391,424,255,63,78",nan,3.02,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
9,genetic,nan,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,563,842,568,217,32,321,450,138,101,457,242,27,424",nan,1,nan,nan,222.46.00,nan,nan,nan,nan,434,57,nan,0,nan,"434,57,27,310,248","57,434,32,102,248",nan,6.48,nan,"434,57,27,310,248,32,102,101,348,481","57,434,32,102,248,321,101,157,310,348",nan,6.35,nan,"434,57,27,310,248,32,102,101,348,481,162,321,221,111,51,157,192,113,1091,100","57,434,32,102,248,321,101,157,310,348,162,27,276,167,221,192,113,175,312,111",nan,6.02,nan,"(None, 10, 0)",nan,nan,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,270","sync_388,sync_936,sync_303,sync_578,sync_1295,sync_404,sync_121,sync_18,sync_25,sync_782,sync_69,sync_553,sync_260,sync_104,sync_137,sync_345,sync_279,sync_84,sync_365,sync_191,sync_24,sync_152,sync_201,sync_409,sync_472,sync_1038,sync_572,sync_241,sync_157,sync_175,sync_30,sync_461,sync_906,sync_240,sync_67,sync_239,sync_102,sync_623,sync_842,sync_568,sync_217,sync_32,sync_321,sync_450,sync_138,sync_101,sync_457,sync_242,sync_27,add_270,del_424",1,nan,nan,nan,77.54.00,nan,262,57,nan,0,"262,270,1168,720,631","57,434,32,102,248",nan,0.0,"262,270,1168,720,631,96,682,512,275,340","57,434,32,102,248,321,101,157,310,348",nan,0.0,"262,270,1168,720,631,96,682,512,275,340,41,1316,348,326,815,336,176,79,99,185","57,434,32,102,248,321,101,157,310,348,162,27,276,167,221,192,113,175,312,111",nan,0.01,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 18:28:55",nan
