i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
0,genetic,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,639",None,1,None,None,117.337,None,None,None,None,298,472,None,0,None,"298,255,240,352,419","472,400,463,352,298",None,0.172,None,"298,255,240,352,419,162,334,409,119,624","472,400,463,352,298,218,735,102,103,32",None,0.112,None,"298,255,240,352,419,162,334,409,119,624,175,54,483,720,103,236,348,218,736,94","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348",None,0.098,None,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,sync_463",0,None,None,None,59.858,None,472,472,None,1,"472,400,463,352,298","472,400,463,352,298",None,1.0,"472,400,463,352,298,218,735,102,103,32","472,400,463,352,298,218,735,102,103,32",None,1.0,"472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348","472,400,463,352,298,218,735,102,103,32,190,409,58,157,741,230,289,312,217,348",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
1,genetic,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,856,205,512,88,190,201,861,86,1220,756,1014",None,1,None,None,126.98,None,None,None,None,790,1539,None,0,None,"790,1539,769,498,649","1539,790,498,769,447",None,0.434,None,"790,1539,769,498,649,447,824,12,243,935","1539,790,498,769,447,649,824,12,399,243",None,0.538,None,"790,1539,769,498,649,447,824,12,243,935,1622,399,210,306,877,892,1220,1160,118,142","1539,790,498,769,447,649,824,12,399,243,892,1622,210,935,306,1160,877,118,1220,142",None,0.529,None,"(None, 10, 0)",None,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","sync_1671,sync_5,sync_882,sync_99,sync_586,sync_852,sync_336,sync_931,sync_1104,sync_392,sync_1480,sync_2,sync_207,sync_1117,sync_610,sync_864,sync_405,sync_117,sync_1422,sync_1018,sync_178,sync_1179,sync_1195,sync_244,sync_44,sync_956,sync_595,sync_991,sync_281,sync_1182,sync_1167,sync_1059,sync_73,sync_1282,sync_1385,sync_131,sync_658,sync_358,sync_142,sync_185,sync_205,sync_512,sync_88,sync_190,sync_201,sync_861,sync_86,sync_1220,sync_756,sync_1014",0,None,None,None,26.365,None,1539,1539,None,1,"1539,790,498,769,447","1539,790,498,769,447",None,1.0,"1539,790,498,769,447,649,824,12,399,243","1539,790,498,769,447,649,824,12,399,243",None,1.0,"1539,790,498,769,447,649,824,12,399,243,892,1622,210,935,306,1160,877,118,1220,142","1539,790,498,769,447,649,824,12,399,243,892,1622,210,935,306,1160,877,118,1220,142",None,1.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
2,genetic,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,338",None,1,None,None,119.891,None,None,None,None,448,832,None,0,None,"448,591,611,317,292","832,364,311,386,854",None,0.0,None,"448,591,611,317,292,34,167,1055,854,38","832,364,311,386,854,339,712,144,163,706",None,0.017,None,"448,591,611,317,292,34,167,1055,854,38,821,974,519,16,1113,17,144,47,375,439","832,364,311,386,854,339,712,144,163,706,195,611,821,14,685,634,1310,974,946,9",None,0.037,None,"(None, 10, 0)",None,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,28","sync_9,sync_66,sync_480,sync_415,sync_821,sync_938,sync_194,sync_522,sync_608,sync_14,sync_1113,sync_753,sync_193,sync_984,sync_364,sync_800,sync_1049,sync_206,sync_779,sync_765,sync_65,sync_1241,sync_561,sync_1020,sync_835,sync_1055,sync_8,sync_71,sync_160,sync_878,sync_123,sync_876,sync_233,sync_203,sync_1096,sync_1214,sync_1063,sync_1349,sync_314,sync_144,sync_38,sync_258,sync_655,sync_135,sync_4,sync_57,sync_96,sync_568,sync_133,add_28,del_386",1,None,None,None,78.907,None,710,832,None,0,"710,821,364,552,1101","832,364,311,386,854",None,0.107,"710,821,364,552,1101,28,194,834,311,71","832,364,311,386,854,339,712,144,163,706",None,0.085,"710,821,364,552,1101,28,194,834,311,71,529,1020,195,515,206,16,854,1078,156,833","832,364,311,386,854,339,712,144,163,706,195,611,821,14,685,634,1310,974,946,9",None,0.075,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
3,genetic,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1628",None,1,None,None,115.444,None,None,None,None,1488,256,None,0,None,"1488,791,1000,959,1353","256,953,631,1385,1673",None,0.0,None,"1488,791,1000,959,1353,1588,339,1631,864,373","256,953,631,1385,1673,1282,120,610,1316,840",None,0.0,None,"1488,791,1000,959,1353,1588,339,1631,864,373,1220,1465,743,1153,1550,1159,179,1283,1434,944","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752",None,0.0,None,"(None, 10, 0)",None,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,4","sync_260,sync_303,sync_46,sync_14,sync_1370,sync_87,sync_98,sync_614,sync_795,sync_487,sync_54,sync_939,sync_856,sync_584,sync_205,sync_802,sync_791,sync_121,sync_94,sync_248,sync_63,sync_416,sync_892,sync_960,sync_131,sync_158,sync_333,sync_23,sync_369,sync_759,sync_1167,sync_643,sync_1295,sync_1247,sync_932,sync_555,sync_586,sync_631,sync_959,sync_503,sync_1015,sync_474,sync_268,sync_9,sync_583,sync_1016,sync_492,sync_96,sync_1434,add_4,del_1282",1,None,None,None,68.361,None,4,256,None,0,"4,1334,527,174,706","256,953,631,1385,1673",None,0.0,"4,1334,527,174,706,436,26,294,197,160","256,953,631,1385,1673,1282,120,610,1316,840",None,0.0,"4,1334,527,174,706,436,26,294,197,160,292,234,935,1144,410,366,1020,655,446,657","256,953,631,1385,1673,1282,120,610,1316,840,1018,1230,1016,185,609,1399,737,720,1449,752",None,0.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
4,genetic,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,374,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",None,1,None,None,116.164,None,None,None,None,348,608,None,0,None,"348,608,409,234,610","608,348,409,234,610",None,0.723,None,"348,608,409,234,610,720,631,975,1166,432","608,348,409,234,610,720,631,975,432,1166",None,0.756,None,"348,608,409,234,610,720,631,975,1166,432,699,1183,5,15,184,630,140,707,524,483","608,348,409,234,610,720,631,975,432,1166,699,5,15,1183,184,140,630,483,524,707",None,0.702,None,"(None, 10, 0)",None,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,146","sync_376,sync_699,sync_297,sync_533,sync_250,sync_369,sync_979,sync_1114,sync_927,sync_205,sync_41,sync_348,sync_102,sync_267,sync_116,sync_262,sync_185,sync_5,sync_1117,sync_405,sync_86,sync_891,sync_956,sync_326,sync_368,sync_322,sync_367,sync_671,sync_1211,sync_64,sync_134,sync_383,sync_372,sync_104,sync_1207,sync_88,sync_484,sync_388,sync_873,sync_1183,sync_1195,sync_526,sync_850,sync_492,sync_2,sync_308,sync_555,sync_720,sync_374,add_146,del_774",1,None,None,None,86.263,None,146,608,None,0,"146,409,167,230,357","608,348,409,234,610",None,0.085,"146,409,167,230,357,217,298,360,102,312","608,348,409,234,610,720,631,975,432,1166",None,0.055,"146,409,167,230,357,217,298,360,102,312,240,103,192,348,630,453,209,257,157,232","608,348,409,234,610,720,631,975,432,1166,699,5,15,1183,184,140,630,483,524,707",None,0.054,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
5,genetic,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,421,231,175,290,1,492",None,1,None,None,102.051,None,None,None,None,290,2,None,0,None,"290,2,720,512,1","2,290,720,512,492",None,0.592,None,"290,2,720,512,1,492,158,653,61,752","2,290,720,512,492,1,158,653,61,96",None,0.675,None,"290,2,720,512,1,492,158,653,61,752,140,73,361,96,262,381,270,569,131,41","2,290,720,512,492,1,158,653,61,96,361,752,73,140,262,381,270,131,569,41",None,0.667,None,"(None, 10, 0)",None,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_569,sync_421,sync_118,sync_900,sync_1070,sync_50,sync_59,sync_53,sync_190,sync_134,sync_388,sync_596,sync_358,sync_13,sync_69,sync_401,sync_696,sync_78,sync_241,sync_231,sync_175,sync_290,sync_1,add_35,del_492",1,None,None,None,66.99,None,201,2,None,0,"201,67,32,138,175","2,290,720,512,492",None,0.0,"201,67,32,138,175,885,241,109,322,126","2,290,720,512,492,1,158,653,61,96",None,0.0,"201,67,32,138,175,885,241,109,322,126,100,390,119,162,102,661,35,274,409,240","2,290,720,512,492,1,158,653,61,96,361,752,73,140,262,381,270,131,569,41",None,0.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
6,genetic,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,322",None,1,None,None,125.126,None,None,None,None,322,326,None,0,None,"322,101,221,58,27","326,262,720,2,716",None,0.0,None,"322,101,221,58,27,113,155,274,310,162","326,262,720,2,716,682,131,86,340,185",None,0.0,None,"322,101,221,58,27,113,155,274,310,162,547,348,222,167,481,119,670,368,157,255","326,262,720,2,716,682,131,86,340,185,798,316,667,96,101,1168,752,557,966,492",None,0.003,None,"(None, 10, 0)",None,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,1534","sync_557,sync_457,sync_527,sync_459,sync_245,sync_63,sync_339,sync_77,sync_136,sync_167,sync_9,sync_1057,sync_593,sync_432,sync_378,sync_779,sync_34,sync_232,sync_322,sync_780,sync_254,sync_574,sync_346,sync_436,sync_265,sync_62,sync_974,sync_1123,sync_469,sync_55,sync_608,sync_67,sync_754,sync_310,sync_158,sync_13,sync_1238,sync_96,sync_352,sync_255,sync_318,sync_492,sync_146,sync_434,sync_547,sync_175,sync_51,sync_530,sync_1064,add_1534,del_326",1,None,None,None,45.709,None,902,326,None,0,"902,355,529,136,574","326,262,720,2,716",None,0.0,"902,355,529,136,574,530,821,636,937,588","326,262,720,2,716,682,131,86,340,185",None,0.0,"902,355,529,136,574,530,821,636,937,588,693,629,312,459,504,7,169,339,9,608","326,262,720,2,716,682,131,86,340,185,798,316,667,96,101,1168,752,557,966,492",None,0.0,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
7,genetic,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,929",None,1,None,None,112.255,None,None,None,None,852,1282,None,0,None,"852,1117,1230,1450,929","1282,1316,1434,326,1099",None,0.0,None,"852,1117,1230,1450,929,926,105,44,1238,281","1282,1316,1434,326,1099,1431,951,631,682,131",None,0.0,None,"852,1117,1230,1450,929,926,105,44,1238,281,571,788,214,882,5,73,631,86,941,270","1282,1316,1434,326,1099,1431,951,631,682,131,5,923,808,262,185,745,1528,720,256,555",None,0.012,None,"(None, 10, 0)",None,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,12","sync_5,sync_720,sync_185,sync_945,sync_1230,sync_492,sync_131,sync_1283,sync_272,sync_711,sync_610,sync_555,sync_82,sync_1001,sync_799,sync_83,sync_699,sync_500,sync_337,sync_81,sync_379,sync_1069,sync_807,sync_54,sync_823,sync_45,sync_503,sync_795,sync_856,sync_939,sync_984,sync_487,sync_6,sync_832,sync_295,sync_704,sync_932,sync_609,sync_1099,sync_1180,sync_361,sync_134,sync_581,sync_244,sync_326,sync_864,sync_1282,sync_631,sync_1431,add_12,del_923",1,None,None,None,47.554,None,36,1282,None,0,"36,555,840,970,383","1282,1316,1434,326,1099",None,0.0,"36,555,840,970,383,70,215,903,1326,1283","1282,1316,1434,326,1099,1431,951,631,682,131",None,0.0,"36,555,840,970,383,70,215,903,1326,1283,74,326,131,178,5,12,154,960,645,88","1282,1316,1434,326,1099,1431,951,631,682,131,5,923,808,262,185,745,1528,720,256,555",None,0.027,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
8,genetic,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,465,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",None,1,None,None,113.83,None,None,None,None,167,57,None,0,None,"167,57,434,334,481","57,167,434,334,58",None,0.592,None,"167,57,434,334,481,58,180,472,230,232","57,167,434,334,58,481,180,232,472,230",None,0.628,None,"167,57,434,334,481,58,180,472,230,232,27,245,192,322,248,937,276,503,157,201","57,167,434,334,58,481,180,232,472,230,245,27,503,937,192,276,157,322,248,101",None,0.516,None,"(None, 10, 0)",None,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,71","sync_1673,sync_27,sync_101,sync_1316,sync_41,sync_292,sync_183,sync_294,sync_475,sync_507,sync_220,sync_205,sync_141,sync_532,sync_122,sync_25,sync_50,sync_436,sync_439,sync_346,sync_148,sync_655,sync_63,sync_321,sync_553,sync_48,sync_567,sync_210,sync_434,sync_390,sync_648,sync_167,sync_208,sync_407,sync_503,sync_32,sync_481,sync_190,sync_201,sync_227,sync_29,sync_37,sync_228,sync_111,sync_230,sync_100,sync_79,sync_538,sync_298,add_71,del_334",1,None,None,None,70.236,None,232,57,None,0,"232,71,343,284,221","57,167,434,334,58",None,0.0,"232,71,343,284,221,48,53,230,648,57","57,167,434,334,58,481,180,232,472,230",None,0.052,"232,71,343,284,221,48,53,230,648,57,54,47,78,472,248,1029,63,245,481,623","57,167,434,334,58,481,180,232,472,230,245,27,503,937,192,276,157,322,248,101",None,0.056,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
9,genetic,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,172,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424",None,1,None,None,115.403,None,None,None,None,180,157,None,0,None,"180,157,248,292,424","157,248,180,167,321",None,0.333,None,"180,157,248,292,424,167,321,97,58,434","157,248,180,167,321,623,292,79,330,368",None,0.294,None,"180,157,248,292,424,167,321,97,58,434,57,330,27,694,368,623,439,245,79,343","157,248,180,167,321,623,292,79,330,368,102,97,57,101,439,100,424,312,390,255",None,0.25,None,"(None, 10, 0)",None,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,55","sync_388,sync_936,sync_303,sync_578,sync_1295,sync_404,sync_121,sync_18,sync_25,sync_782,sync_69,sync_553,sync_260,sync_104,sync_137,sync_345,sync_279,sync_84,sync_365,sync_191,sync_24,sync_152,sync_201,sync_409,sync_472,sync_1038,sync_572,sync_241,sync_157,sync_175,sync_30,sync_461,sync_906,sync_240,sync_67,sync_239,sync_102,sync_623,sync_842,sync_568,sync_217,sync_32,sync_321,sync_450,sync_138,sync_101,sync_457,sync_242,sync_27,add_55,del_424",1,None,None,None,71.608,None,248,157,None,0,"248,180,57,27,113","157,248,180,167,321",None,0.192,"248,180,57,27,113,310,51,457,265,102","157,248,180,167,321,623,292,79,330,368",None,0.124,"248,180,57,27,113,310,51,457,265,102,222,321,157,136,477,183,497,257,23,162","157,248,180,167,321,623,292,79,330,368,102,97,57,101,439,100,424,312,390,255",None,0.121,True,SASRec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Thu, 06 Feb 2025 18:55:38"
