i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
0,targeted,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,11,242,286,463",None,1,None,None,36.266,0.0,63.855,None,5.975,"{15, 7}","{15, 7}",{7},1.0,1.0,"{15, 7},{5, 15},{16, 15, 7},{3},{3, 13}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7}","{7},{7},{7},{7},{7}",0.587,0.868,"{15, 7},{5, 15},{16, 15, 7},{3},{3, 13},{16, 7},{11, 3, 7},{14},{3, 14},{7}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7},{3, 13},{3, 14},{3, 13},{7},{3, 13}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.619,0.634,"{15, 7},{5, 15},{16, 15, 7},{3},{3, 13},{16, 7},{11, 3, 7},{14},{3, 14},{7},{12, 7},{7},{9, 14},{13, 15, 5, 7},{3, 13},{0, 14, 15},{11, 2, 3},{5, 7},{3},{0, 14, 15}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7},{3, 13},{3, 14},{3, 13},{7},{3, 13},{12, 15},{11, 1, 3, 7},{12, 7},{13, 15, 5, 7},{9, 14},{3},{11, 3, 7},{3, 13},{5, 7},{3}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.536,0.642,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
1,targeted,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,865,1220,756,1014",None,1,None,None,33.616,0.0,35.51,None,5.348,{7},{7},{7},1.0,1.0,"{7},{7},{3},{7},{1, 3, 7}","{7},{7},{1, 13},{0},{3}","{7},{7},{7},{7},{7}",0.866,0.473,"{7},{7},{3},{7},{1, 3, 7},{0},{0, 15},{0, 15},{0, 14},{5, 7}","{7},{7},{1, 13},{0},{3},{13},{13},{7},{0, 15},{0, 16, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.58,0.475,"{7},{7},{3},{7},{1, 3, 7},{0},{0, 15},{0, 15},{0, 14},{5, 7},{1, 13},{0, 15},{15, 5, 7},{3, 5},{0, 17},{10, 3},{7},{0, 12, 13, 15},{0, 15, 7},{3, 13}","{7},{7},{1, 13},{0},{3},{13},{13},{7},{0, 15},{0, 16, 7},{7},{3},{0, 14},{3, 13},{0, 15, 7},{0, 15},{15},{0, 15},{3, 5},{0}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.45,0.379,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
2,targeted,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,333,568,133,386",None,1,None,None,31.98,0.0,19.287,None,5.605,"{13, 7}",{3},{7},1.0,0.0,"{13, 7},{13, 7},{13, 7},{3},{2, 3}","{3},{3, 7},{3},{13, 7},{3, 13}","{7},{7},{7},{7},{7}",0.78,0.483,"{13, 7},{13, 7},{13, 7},{3},{2, 3},{1, 3},{3, 13},{1, 3},{3, 13},{3}","{3},{3, 7},{3},{13, 7},{3, 13},{3},{3},{3},{13, 7},{13, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.509,0.502,"{13, 7},{13, 7},{13, 7},{3},{2, 3},{1, 3},{3, 13},{1, 3},{3, 13},{3},{7},{1, 3},{7},{3},{3},{3, 13, 15},{3, 7},{3, 13},{3},{11, 1, 3}","{3},{3, 7},{3},{13, 7},{3, 13},{3},{3},{3},{13, 7},{13, 7},{11, 3},{15, 7},{7},{13, 7},{3},{13, 7},{11, 13},{13, 7},{11, 1, 3},{13, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.421,0.534,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
3,targeted,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1621,492,96,1434,1282",None,1,None,None,34.491,0.0,45.508,None,5.364,{7},{7},{7},1.0,1.0,"{7},{7},{7},{7},{7}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7}","{7},{7},{7},{7},{7}",1.0,0.72,"{7},{7},{7},{7},{7},{7},{3},{0, 5, 7},{5, 7},{13, 7}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7},{15, 5, 7},{3, 7},{3, 12, 5, 15},{3, 13},{5, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.942,0.647,"{7},{7},{7},{7},{7},{7},{3},{0, 5, 7},{5, 7},{13, 7},{6},{7},{0, 10, 14},{10},{3},{13, 7},{7},{5, 7},{5, 15},{3}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7},{15, 5, 7},{3, 7},{3, 12, 5, 15},{3, 13},{5, 7},{3},{0, 10, 14},{0, 13, 15},{15, 7},{0, 15},{7},{11, 2, 3},{7},{12, 15},{0, 3}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.727,0.492,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
4,targeted,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,64,774",None,1,None,None,32.147,0.0,19.055,None,5.407,"{5, 7}","{0, 15}",{7},1.0,0.0,"{5, 7},{3},{7},{0, 13, 15},{0, 15}","{0, 15},{7},{0, 3},{0, 1},{5, 7}","{7},{7},{7},{7},{7}",0.481,0.267,"{5, 7},{3},{7},{0, 13, 15},{0, 15},{0, 13, 7},{1, 14, 15},{9, 12, 5, 15},{7},{7}","{0, 15},{7},{0, 3},{0, 1},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.456,0.339,"{5, 7},{3},{7},{0, 13, 15},{0, 15},{0, 13, 7},{1, 14, 15},{9, 12, 5, 15},{7},{7},{3, 7},{0, 3},{7},{0, 1},{9, 12},{0, 10, 14},{3},{7},{10, 12, 5, 15},{1, 13}","{0, 15},{7},{0, 3},{0, 1},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7},{10, 7},{0, 16, 14, 15},{14, 7},{0, 13, 7},{3, 7},{7},{5},{5},{0, 13, 15},{0, 1, 14, 16}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.37,0.387,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
5,targeted,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,148,492",None,1,None,None,32.224,0.0,86.377,None,5.986,{7},{7},{7},1.0,1.0,"{7},{0, 13, 7},{15, 7},{3, 13},{15, 5, 7}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3}","{7},{7},{7},{7},{7}",0.854,0.936,"{7},{0, 13, 7},{15, 7},{3, 13},{15, 5, 7},{0, 15},{7},{0, 5, 7},{3},{3, 5}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3},{3},{0, 16, 15, 7},{3, 13},{16, 13, 7},{9, 12, 5, 15}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.721,0.756,"{7},{0, 13, 7},{15, 7},{3, 13},{15, 5, 7},{0, 15},{7},{0, 5, 7},{3},{3, 5},{14, 7},{5, 7},{0, 1, 13, 14, 16},{9, 12, 5, 15},{0, 17, 3},{12, 7},{16, 1},{12, 15},{16, 7},{5, 7}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3},{3},{0, 16, 15, 7},{3, 13},{16, 13, 7},{9, 12, 5, 15},{15, 13, 7},{15, 5, 7},{15, 7},{0, 5, 7},{16, 7},{14, 7},{12, 15},{7},{15, 7},{13, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.577,0.811,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
6,targeted,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,663",None,1,None,None,34.805,0.0,45.02,None,5.682,"{3, 7}","{0, 13, 15}",{7},1.0,0.0,"{3, 7},{7},{0, 16, 13, 7},{16, 7},{12, 7}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7}","{7},{7},{7},{7},{7}",1.0,0.487,"{3, 7},{7},{0, 16, 13, 7},{16, 7},{12, 7},{14},{7},{7},{13, 7},{16, 3, 13}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7},{13, 7},{3, 13},{0, 1, 14, 16},{3},{1, 3}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.86,0.39,"{3, 7},{7},{0, 16, 13, 7},{16, 7},{12, 7},{14},{7},{7},{13, 7},{16, 3, 13},{12, 15},{6},{1, 17, 7},{0, 17, 7},{3, 5},{3, 13},{3, 13},{0, 13, 7},{13, 7},{3, 13}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7},{13, 7},{3, 13},{0, 1, 14, 16},{3},{1, 3},{3, 12, 5, 7},{7},{11, 2, 3},{7},{12, 15},{6},{3, 7},{7},{3, 13, 7},{7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.72,0.483,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
7,targeted,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,134",None,1,None,None,33.145,0.0,13.782,None,5.957,{7},{3},{7},1.0,0.0,"{7},{0, 14, 15},{3, 13},{3},{5, 15}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7}","{7},{7},{7},{7},{7}",0.196,0.25,"{7},{0, 14, 15},{3, 13},{3},{5, 15},{5, 7},{0, 10, 14},{0, 13, 15},{3, 7},{15, 13, 7}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.345,0.258,"{7},{0, 14, 15},{3, 13},{3},{5, 15},{5, 7},{0, 10, 14},{0, 13, 15},{3, 7},{15, 13, 7},{7},{11, 2, 3},{15, 7},{3, 7},{3},{3},{0, 15},{3, 12, 5, 15},{3},{7}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7},{15, 5, 7},{16, 7},{15, 5, 7},{12, 15},{0, 3, 7},{7},{0, 17, 7},{13, 7},{3},{3, 13}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.344,0.462,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
8,targeted,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,482,100,79,538,298,334",None,1,None,None,37.858,0.0,72.144,None,5.421,{7},"{1, 17, 7}",{7},1.0,1.0,"{7},{16, 7},{3, 7},{3, 7},{7}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7}","{7},{7},{7},{7},{7}",1.0,0.873,"{7},{16, 7},{3, 7},{3, 7},{7},{7},{16, 15, 7},{17},{15, 7},{0, 15}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.879,0.706,"{7},{16, 7},{3, 7},{3, 7},{7},{7},{16, 15, 7},{17},{15, 7},{0, 15},{3, 14},{1, 17, 7},{0, 3, 7},{0, 17, 3},{0, 15, 7},{15, 7},{11, 1, 3, 7},{0, 15},{12, 7},{3, 7}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7},{0, 15},{16, 7},{0, 1, 14},{0, 13, 15},{7},{7},{3, 13},{12, 7},{0, 1, 7},{13, 7}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.806,0.635,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
9,targeted,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,207,32,321,450,138,101,457,242,217,424",None,2,None,None,33.985,0.0,33.118,None,5.71,"{16, 7}",{11},{7},1.0,0.0,"{16, 7},{11},{1, 17, 7},{3, 14},{11, 2, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14}","{7},{7},{7},{7},{7}",0.569,0.181,"{16, 7},{11},{1, 17, 7},{3, 14},{11, 2, 3},{0, 1},{0, 1},{15, 7},{11, 1, 3, 7},{16, 13, 7}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.606,0.339,"{16, 7},{11},{1, 17, 7},{3, 14},{11, 2, 3},{0, 1},{0, 1},{15, 7},{11, 1, 3, 7},{16, 13, 7},{0, 1, 7, 13, 14, 16},{16, 3, 13},{0, 1, 13, 16},{11, 13},{16, 7},{3, 15},{0, 15},{7},{0, 1, 14},{11, 2, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1},{0, 1, 7, 13, 14, 16},{11, 2, 3},{16, 7},{3, 13},{16, 13, 7},{16, 3, 13},{0, 14, 15},{16, 13, 7},{0, 16, 14, 15},{11, 13}","{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}",0.496,0.395,True,BERT4Rec,ml-100k,Drama,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,False,0.5,"Sun, 26 Jan 2025 13:38:27"
