i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,split,status,score,source,aligned,alignment,cost,gt,aligned_gt,dataset_time,align_time,automata_learning_time,aligned_gt@1,gt@1,preds_gt@1,score@1,aligned_gt@5,gt@5,preds_gt@5,score@5,aligned_gt@10,gt@10,preds_gt@10,score@10,aligned_gt@20,gt@20,preds_gt@20,score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp,error
0,genetic,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,493",None,1,None,None,112.872,None,None,None,None,330,32,None,0,None,"330,289,218,368,101","32,865,397,298,201",None,0.0,None,"330,289,218,368,101,434,298,180,312,32","32,865,397,298,201,180,248,167,100,406",None,0.072,None,"330,289,218,368,101,434,298,180,312,32,406,102,94,255,100,352,95,192,113,27","32,865,397,298,201,180,248,167,100,406,896,101,255,400,218,368,94,367,217,330",None,0.11,None,"(None, 10, 0)",None,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,231,-1,-1,-1,-1,-1","sync_178,sync_290,sync_154,sync_362,sync_322,sync_733,sync_1007,sync_61,sync_972,sync_141,sync_114,sync_137,sync_1055,sync_312,sync_348,sync_241,sync_112,sync_53,sync_32,sync_298,sync_321,sync_89,sync_368,sync_492,sync_493,sync_572,sync_356,sync_1009,sync_69,sync_404,sync_96,sync_720,sync_204,sync_176,sync_428,sync_162,sync_366,sync_182,sync_26,sync_116,sync_453,sync_311,sync_242,sync_286,add_231,del_463",1,None,None,None,108.084,None,32,32,None,1,"32,298,289,255,368","32,865,397,298,201",None,0.388,"32,298,289,255,368,201,192,330,101,102","32,865,397,298,201,180,248,167,100,406",None,0.294,"32,298,289,255,368,201,192,330,101,102,100,218,248,103,240,241,167,312,180,613","32,865,397,298,201,180,248,167,100,406,896,101,255,400,218,368,94,367,217,330",None,0.247,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Fri, 24 Jan 2025 17:59:39",
300,genetic_categorized,None,"374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,744","374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1280,418,451,198,279,744",None,1,None,None,239.407,None,None,None,None,835,451,None,0,None,"835,364,56,685,469","451,774,830,15,220",None,0.0,None,"835,364,56,685,469,558,657,705,946,353","451,774,830,15,220,459,622,939,544,838",None,0.0,None,"835,364,56,685,469,558,657,705,946,353,220,774,528,511,832,758,838,800,34,550","451,774,830,15,220,459,622,939,544,838,528,524,699,912,1063,198,927,1238,438,376",None,0.034,None,"(None, 10, 0)",None,None,"374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,744","374,48,232,217,477,202,400,183,113,916,802,901,457,355,66,98,699,505,115,254,148,369,376,404,759,297,475,250,325,47,26,209,55,137,830,438,77,1123,152,838,939,370,220,528,1238,418,451,198,279,1","sync_374,sync_48,sync_232,sync_217,sync_477,sync_202,sync_400,sync_183,sync_113,sync_916,sync_802,sync_901,sync_457,sync_355,sync_66,sync_98,sync_699,sync_505,sync_115,sync_254,sync_148,sync_369,sync_376,sync_404,sync_759,sync_297,sync_475,sync_250,sync_325,sync_47,sync_26,sync_209,sync_55,sync_137,sync_830,sync_438,sync_77,sync_1123,sync_152,sync_838,sync_939,sync_370,sync_220,sync_528,sync_1238,sync_418,sync_451,sync_198,sync_279,add_1,del_744",1,None,None,None,141.989,None,140,451,None,0,"140,262,720,185,270","451,774,830,15,220",None,0.0,"140,262,720,185,270,2,1342,25,882,281","451,774,830,15,220,459,622,939,544,838",None,0.0,"140,262,720,185,270,2,1342,25,882,281,341,5,434,27,51,96,116,492,1168,383","451,774,830,15,220,459,622,939,544,838,528,524,699,912,1063,198,927,1238,438,376",None,0.0,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
301,genetic_categorized,None,"2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,414","2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1175,414",None,1,None,None,235.873,None,None,None,None,365,137,None,0,None,"365,383,404,104,88","137,404,383,615,365",None,0.218,None,"365,383,404,104,88,11,615,78,137,26","137,404,383,615,365,182,88,26,24,414",None,0.237,None,"365,383,404,104,88,11,615,78,137,26,205,453,74,268,614,824,428,141,142,351","137,404,383,615,365,182,88,26,24,414,84,199,648,104,553,484,862,142,1007,268",None,0.178,None,"(None, 10, 0)",None,None,"2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,414","2,492,140,44,158,752,117,358,372,210,154,428,288,50,53,141,25,696,356,366,662,190,189,614,11,874,31,645,64,199,142,535,677,74,13,88,365,383,824,1007,159,1127,257,-1,-1,-1,-1,-1,-1,-1","sync_2,sync_492,sync_140,sync_44,sync_158,sync_752,sync_117,sync_358,sync_372,sync_210,sync_154,sync_428,sync_288,sync_50,sync_53,sync_141,sync_25,sync_696,sync_356,sync_366,sync_662,sync_190,sync_189,sync_614,sync_11,sync_874,sync_31,sync_645,sync_64,sync_199,sync_142,sync_535,sync_677,sync_74,sync_13,sync_88,sync_365,sync_383,sync_824,sync_1007,sync_159,sync_1127,add_257,del_414",1,None,None,None,315.565,None,199,137,None,0,"199,217,102,157,175","137,404,383,615,365",None,0.0,"199,217,102,157,175,13,183,539,23,190","137,404,383,615,365,182,88,26,24,414",None,0.0,"199,217,102,157,175,13,183,539,23,190,113,298,358,823,862,503,360,357,142,230","137,404,383,615,365,182,88,26,24,414,84,199,648,104,553,484,862,142,1007,268",None,0.031,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
302,genetic_categorized,None,"841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,348","841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,690,289,348",None,1,None,None,234.385,None,None,None,None,289,32,None,0,None,"289,32,419,157,175","32,175,261,298,368",None,0.223,None,"289,32,419,157,175,89,240,6,409,663","32,175,261,298,368,157,278,450,670,624",None,0.171,None,"289,32,419,157,175,89,240,6,409,663,368,658,298,217,823,360,624,103,296,196","32,175,261,298,368,157,278,450,670,624,218,222,255,23,94,6,79,409,35,1072",None,0.137,None,"(None, 10, 0)",None,None,"841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,348","841,484,104,303,137,141,18,578,40,268,132,614,152,615,1078,683,567,182,414,657,404,492,388,653,191,666,134,11,771,746,57,943,483,102,601,330,663,630,562,239,72,240,312,277,222,7,200,390,289,527","sync_841,sync_484,sync_104,sync_303,sync_137,sync_141,sync_18,sync_578,sync_40,sync_268,sync_132,sync_614,sync_152,sync_615,sync_1078,sync_683,sync_567,sync_182,sync_414,sync_657,sync_404,sync_492,sync_388,sync_653,sync_191,sync_666,sync_134,sync_11,sync_771,sync_746,sync_57,sync_943,sync_483,sync_102,sync_601,sync_330,sync_663,sync_630,sync_562,sync_239,sync_72,sync_240,sync_312,sync_277,sync_222,sync_7,sync_200,sync_390,sync_289,add_527,del_348",1,None,None,None,142.354,None,412,32,None,0,"412,568,466,255,72","32,175,261,298,368",None,0.0,"412,568,466,255,72,103,222,316,157,483","32,175,261,298,368,157,278,450,670,624",None,0.02,"412,568,466,255,72,103,222,316,157,483,221,82,509,101,92,57,261,48,755,32","32,175,261,298,368,157,278,450,670,624,218,222,255,23,94,6,79,409,35,1072",None,0.035,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
303,genetic_categorized,None,"104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,26","104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,977,1317,26",None,1,None,None,228.741,None,None,None,None,345,191,None,0,None,"345,1505,1623,799,159","191,935,307,567,1559",None,0.0,None,"345,1505,1623,799,159,905,1176,1260,783,176","191,935,307,567,1559,446,1127,957,683,12",None,0.0,None,"345,1505,1623,799,159,905,1176,1260,783,176,738,435,244,1035,1609,410,60,107,166,40","191,935,307,567,1559,446,1127,957,683,12,978,174,351,524,491,404,234,24,279,1529",None,0.0,None,"(None, 10, 0)",None,None,"104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,26","104,401,74,708,1176,141,1535,1601,1453,553,648,121,366,763,408,771,1260,491,453,388,1115,328,1127,40,96,225,567,566,935,52,29,1035,152,1569,1227,578,465,1332,299,137,337,957,978,404,18,1326,1173,177,1317,32","sync_104,sync_401,sync_74,sync_708,sync_1176,sync_141,sync_1535,sync_1601,sync_1453,sync_553,sync_648,sync_121,sync_366,sync_763,sync_408,sync_771,sync_1260,sync_491,sync_453,sync_388,sync_1115,sync_328,sync_1127,sync_40,sync_96,sync_225,sync_567,sync_566,sync_935,sync_52,sync_29,sync_1035,sync_152,sync_1569,sync_1227,sync_578,sync_465,sync_1332,sync_299,sync_137,sync_337,sync_957,sync_978,sync_404,sync_18,sync_1326,sync_1173,sync_177,sync_1317,add_32,del_26",1,None,None,None,158.638,None,539,191,None,0,"539,362,32,109,106","191,935,307,567,1559",None,0.0,"539,362,32,109,106,1236,255,37,201,261","191,935,307,567,1559,446,1127,957,683,12",None,0.0,"539,362,32,109,106,1236,255,37,201,261,175,126,162,983,291,298,327,623,334,102","191,935,307,567,1559,446,1127,957,683,12,978,174,351,524,491,404,234,24,279,1529",None,0.0,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
304,genetic_categorized,None,"290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1077","290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1057",None,1,None,None,186.073,None,None,None,None,433,596,None,0,None,"433,428,189,104,596","596,189,401,210,696",None,0.175,None,"433,428,189,104,596,78,696,210,11,677","596,189,401,210,696,78,1070,433,428,69",None,0.256,None,"433,428,189,104,596,78,696,210,11,677,484,1070,356,970,401,488,29,149,60,69","596,189,401,210,696,78,1070,433,428,69,535,149,29,601,134,11,970,644,502,356",None,0.212,None,"(None, 10, 0)",None,None,"290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,1077","290,2,1561,140,105,1,61,244,1344,401,13,323,50,31,1417,408,78,243,970,644,372,356,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_2,sync_1561,sync_140,sync_105,sync_1,sync_61,sync_244,sync_1344,sync_401,sync_13,sync_323,sync_50,sync_31,sync_1417,sync_408,sync_78,sync_243,sync_970,sync_644,sync_372,sync_356,add_45,del_1077",1,None,None,None,169.756,None,362,596,None,0,"362,32,298,102,357","596,189,401,210,696",None,0.0,"362,32,298,102,357,95,241,126,39,240","596,189,401,210,696,78,1070,433,428,69",None,0.0,"362,32,298,102,357,95,241,126,39,240,201,30,171,539,696,291,255,289,190,731","596,189,401,210,696,78,1070,433,428,69,535,149,29,601,134,11,970,644,502,356",None,0.005,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
305,genetic_categorized,None,"290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073","290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1631,1073",None,1,None,None,195.821,None,None,None,None,262,25,None,0,None,"262,512,720,843,667","25,217,218,348,368",None,0.0,None,"262,512,720,843,667,1089,131,41,752,1075","25,217,218,348,368,222,6,32,50,113",None,0.0,None,"262,512,720,843,667,1089,131,41,752,1075,1179,270,185,405,1168,424,61,758,207,140","25,217,218,348,368,222,6,32,50,113,312,35,248,102,13,343,103,23,257,157",None,0.0,None,"(None, 10, 0)",None,None,"290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,1073","290,118,126,67,78,619,32,33,240,455,187,245,885,37,545,409,477,35,937,239,695,79,57,162,1313,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1","sync_290,sync_118,sync_126,sync_67,sync_78,sync_619,sync_32,sync_33,sync_240,sync_455,sync_187,sync_245,sync_885,sync_37,sync_545,sync_409,sync_477,sync_35,sync_937,sync_239,sync_695,sync_79,sync_57,sync_162,sync_1313,add_75,del_1073",1,None,None,None,142.967,None,25,25,None,1,"25,102,13,312,217","25,217,218,348,368",None,0.393,"25,102,13,312,217,257,50,218,35,115","25,217,218,348,368,222,6,32,50,113",None,0.295,"25,102,13,312,217,257,50,218,35,115,37,157,434,619,6,368,103,113,261,658","25,217,218,348,368,222,6,32,50,113,312,35,248,102,13,343,103,23,257,157",None,0.265,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
306,genetic_categorized,None,"290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,69","290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,737,248,25,78,13,503,567,260,404,303,50,1035,69",None,1,None,None,228.905,None,None,None,None,87,553,None,0,None,"87,84,553,69,404","553,84,87,69,404",None,0.661,None,"87,84,553,69,404,78,365,104,121,18","553,84,87,69,404,78,648,365,121,104",None,0.629,None,"87,84,553,69,404,78,365,104,121,18,648,407,205,137,303,13,863,29,11,141","553,84,87,69,404,78,648,365,121,104,407,18,11,205,137,303,13,141,696,24",None,0.535,None,"(None, 10, 0)",None,None,"290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,69","290,96,653,361,176,118,52,892,1024,145,190,551,102,67,450,257,276,255,32,240,226,126,204,330,241,755,57,358,109,92,35,10,53,37,248,25,78,13,503,567,260,404,303,50,1035,624,-1,-1,-1,-1","sync_290,sync_96,sync_653,sync_361,sync_176,sync_118,sync_52,sync_892,sync_1024,sync_145,sync_190,sync_551,sync_102,sync_67,sync_450,sync_257,sync_276,sync_255,sync_32,sync_240,sync_226,sync_126,sync_204,sync_330,sync_241,sync_755,sync_57,sync_358,sync_109,sync_92,sync_35,sync_10,sync_53,sync_37,sync_248,sync_25,sync_78,sync_13,sync_503,sync_567,sync_260,sync_404,sync_303,sync_50,sync_1035,add_624,del_69",1,None,None,None,418.805,None,78,553,None,0,"78,404,69,50,201","553,84,87,69,404",None,0.106,"78,404,69,50,201,175,87,190,648,358","553,84,87,69,404,78,648,365,121,104",None,0.128,"78,404,69,50,201,175,87,190,648,358,553,25,407,53,503,240,90,205,18,696","553,84,87,69,404,78,648,365,121,104,407,18,11,205,137,303,13,141,696,24",None,0.137,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
307,genetic_categorized,None,"121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,596","121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,587,25,596",None,1,None,None,227.353,None,None,None,None,597,104,None,0,None,"597,240,298,638,255","104,433,78,50,84",None,0.0,None,"597,240,298,638,255,30,201,300,980,32","104,433,78,50,84,69,601,356,365,428",None,0.0,None,"597,240,298,638,255,30,201,300,980,32,175,735,330,180,863,857,624,1017,78,630","104,433,78,50,84,69,601,356,365,428,662,87,358,696,134,863,874,13,210,121",None,0.022,None,"(None, 10, 0)",None,None,"121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,596","121,723,874,50,696,645,513,11,84,243,877,328,971,1083,1124,358,502,53,677,648,863,260,104,205,224,566,453,365,176,782,349,87,18,614,366,535,407,137,404,532,178,142,141,290,69,78,428,158,25,236","sync_121,sync_723,sync_874,sync_50,sync_696,sync_645,sync_513,sync_11,sync_84,sync_243,sync_877,sync_328,sync_971,sync_1083,sync_1124,sync_358,sync_502,sync_53,sync_677,sync_648,sync_863,sync_260,sync_104,sync_205,sync_224,sync_566,sync_453,sync_365,sync_176,sync_782,sync_349,sync_87,sync_18,sync_614,sync_366,sync_535,sync_407,sync_137,sync_404,sync_532,sync_178,sync_142,sync_141,sync_290,sync_69,sync_78,sync_428,sync_158,sync_25,add_236,del_596",1,None,None,None,168.308,None,2,104,None,0,"2,653,158,84,61","104,433,78,50,84",None,0.066,"2,653,158,84,61,50,224,298,190,492","104,433,78,50,84,69,601,356,365,428",None,0.074,"2,653,158,84,61,50,224,298,190,492,361,201,428,32,513,356,476,100,96,176","104,433,78,50,84,69,601,356,365,428,662,87,358,696,134,863,874,13,210,121",None,0.063,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
308,genetic_categorized,None,"109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,20","109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,70",None,1,None,None,230.634,None,None,None,None,174,889,None,0,None,"174,197,132,26,78","889,95,274,572,192",None,0.0,None,"174,197,132,26,78,96,414,1137,446,108","889,95,274,572,192,54,321,472,119,330",None,0.0,None,"174,197,132,26,78,96,414,1137,446,108,87,1078,18,894,52,61,366,50,372,243","889,95,274,572,192,54,321,472,119,330,82,33,461,255,318,698,30,391,245,161",None,0.0,None,"(None, 10, 0)",None,None,"109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,20","109,298,623,274,493,201,102,230,817,472,572,217,357,67,495,157,236,148,710,35,434,82,248,481,112,32,285,196,30,186,889,259,9,321,322,37,65,497,255,857,368,658,95,240,79,97,119,755,980,100","sync_109,sync_298,sync_623,sync_274,sync_493,sync_201,sync_102,sync_230,sync_817,sync_472,sync_572,sync_217,sync_357,sync_67,sync_495,sync_157,sync_236,sync_148,sync_710,sync_35,sync_434,sync_82,sync_248,sync_481,sync_112,sync_32,sync_285,sync_196,sync_30,sync_186,sync_889,sync_259,sync_9,sync_321,sync_322,sync_37,sync_65,sync_497,sync_255,sync_857,sync_368,sync_658,sync_95,sync_240,sync_79,sync_97,sync_119,sync_755,sync_980,add_100,del_20",1,None,None,None,288.925,None,330,889,None,0,"330,167,274,95,54","889,95,274,572,192",None,0.241,"330,167,274,95,54,572,192,30,889,362","889,95,274,572,192,54,321,472,119,330",None,0.286,"330,167,274,95,54,572,192,30,889,362,58,57,33,82,321,472,308,248,97,658","889,95,274,572,192,54,321,472,119,330,82,33,461,255,318,698,30,391,245,161",None,0.228,True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,"Sun, 26 Jan 2025 20:29:54",
