tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
448,410,1113,1192,52.21,49.35,27.32,"(2015, 1626)","(1640, 1523)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:12:33"
137,63,1390,1522,68.5,49.07,8.26,"(1961, 1786)","(1659, 1453)",50,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014",True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:12:33"
156,0,111,1550,100.0,14.69,9.14,"(2042, 1510)","(1706, 111)",50,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:14:44"
554,274,1595,1393,66.91,56.32,28.45,"(2028, 1717)","(1947, 1869)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:18:42"
1979,705,5219,4683,73.73,57.19,29.71,"(8067, 6252)","(6662, 5924)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:19:55"
3282,1085,6214,4329,75.15,63.69,43.12,"(8095, 7583)","(7611, 7299)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:24:19"
3064,1766,5568,4521,63.44,57.86,40.4,"(8152, 7879)","(7585, 7334)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,10,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:29:08"
312,66,5693,6335,82.54,48.4,4.69,"(7797, 6679)","(6647, 5759)",50,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:36:35"
6802,1752,586,107,79.52,79.9,98.45,"(8147, 1437)","(6909, 2338)",50,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:36:35"
1041,310,5287,5991,77.05,50.11,14.8,"(7899, 7021)","(7032, 5597)",50,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282",True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Mon, 20 Jan 2025 10:36:35"
