target_cat,tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,error,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
Horror,3106.0,688.0,2515.0,3765.0,81.87,55.8,45.2,"(8127, 6837)","(6871, 3203)",45.0,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1327.0,117.0,5486.0,5424.0,91.9,55.15,19.66,"(8074, 5074)","(6751, 5603)",50.0,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,930.0,9.0,5435.0,5869.0,99.04,51.99,13.68,"(8160, 6739)","(6799, 5444)",50.0,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,749.0,14.0,6086.0,5906.0,98.17,53.59,11.25,"(8140, 6957)","(6655, 6100)",50.0,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2393.0,366.0,5470.0,4382.0,86.73,62.35,35.32,"(8057, 6907)","(6775, 5836)",50.0,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,7339.0,86.0,4.0,107.0,98.84,97.44,98.56,"(8161, 560)","(7446, 90)",24.0,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1875.0,697.0,3156.0,4661.0,72.9,48.43,28.69,"(8026, 5661)","(6536, 3853)",50.0,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2382.0,313.0,5957.0,3977.0,88.39,66.03,37.46,"(7988, 7373)","(6359, 6270)",50.0,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,317.0,29.0,6491.0,6720.0,91.62,50.22,4.5,"(8074, 6984)","(7037, 6520)",50.0,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,6547.0,27.0,93.0,130.0,99.59,97.69,98.05,"(8129, 7099)","(6677, 120)",50.0,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1321.0,1237.0,5367.0,4919.0,51.64,52.07,21.17,"(8103, 7254)","(6240, 6604)",50.0,"1111,168,954,469,515,283,194,1101,718,765,1259,206,1387,1022,1223,481,123,1050,310,545,576,472,434,57,27,160,425,346,684,878,233,71,465,797,1266,321,591,144,436,519,527,1113,896,1321,554,1005,987,1071,833,670",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1451.0,1419.0,3910.0,5548.0,50.56,43.49,20.73,"(8123, 5550)","(6999, 5329)",50.0,"290,59,372,25,1311,428,182,720,752,140,142,154,408,149,178,361,492,696,84,176,306,141,158,88,137,453,98,279,771,24,190,358,50,356,601,535,243,234,87,708,18,1068,268,1105,935,1195,1083,174,1183,333",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,437.0,74.0,5891.0,6659.0,85.52,48.45,6.16,"(8150, 6710)","(7096, 5965)",35.0,"158,945,653,44,96,61,176,892,1024,99,498,118,361,25,972,13,404,69,502,503,874,210,142,24,453,26,614,159,1035,141,137,152,770,652,279",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,3048.0,1233.0,2126.0,3495.0,71.2,52.25,46.58,"(8140, 5387)","(6543, 3359)",50.0,"736,696,307,158,182,262,1160,275,1024,720,670,568,734,236,99,524,901,899,859,81,531,951,243,861,485,308,331,481,170,994,7,254,575,1335,400,89,100,154,653,291,504,117,134,408,1212,17,535,1372,912,205",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,7011.0,5262.0,904.0,10.0,57.13,60.02,99.86,"(8142, 1237)","(7021, 6166)",50.0,"292,436,34,402,30,205,896,157,365,559,759,477,801,166,862,528,136,104,160,58,232,920,1433,599,444,821,346,530,435,1063,1101,457,511,219,37,186,50,53,294,257,1055,345,57,64,118,145,332,1156,623,523",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,6653.0,3963.0,216.0,87.0,62.67,62.91,98.71,"(8029, 5138)","(6740, 4179)",50.0,"78,645,117,815,1024,290,453,311,268,614,141,303,174,564,137,414,24,553,121,1036,182,657,972,465,708,177,279,511,515,578,1012,905,104,173,217,664,230,162,358,31,23,457,1184,258,334,404,103,721,370,125",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,651.0,0.0,6082.0,6118.0,100.0,52.39,9.62,"(8142, 6489)","(6769, 6082)",50.0,"197,1241,765,446,753,1049,834,615,522,1111,329,657,283,431,353,577,143,422,169,870,635,778,605,374,438,1198,505,147,162,77,254,55,26,83,457,901,232,418,137,141,369,544,220,115,459,202,770,699,279,979",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1168.0,10.0,1143.0,5706.0,99.15,28.79,16.99,"(8145, 3160)","(6874, 1153)",50.0,"157,457,146,7,477,218,232,916,505,115,544,318,699,376,220,630,15,148,830,939,369,540,202,528,451,979,694,343,592,378,439,338,193,367,914,671,324,34,587,308,558,38,364,720,2,1085,383,69,131,351",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2003.0,596.0,3131.0,4568.0,77.07,49.85,30.48,"(8119, 5040)","(6571, 3727)",50.0,"1329,270,306,74,1168,12,88,242,268,716,13,158,1183,99,1465,1003,852,348,360,477,162,759,369,699,457,438,459,451,198,544,979,622,927,220,995,353,1023,281,246,653,336,319,594,1117,357,453,146,377,471,1160",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1932.0,992.0,3489.0,5151.0,66.07,46.88,27.28,"(8152, 7482)","(7083, 4481)",50.0,"831,517,15,818,685,1192,468,1093,847,800,469,946,220,353,363,835,1005,1261,927,769,1071,234,1096,376,1263,774,21,605,522,543,496,979,118,2,61,281,96,340,52,269,1024,929,332,369,23,759,137,500,115,163",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,94.0,101.0,6169.0,6173.0,48.21,49.96,1.5,"(7392, 7808)","(6267, 6270)",50.0,"114,1165,1368,212,618,339,559,395,169,1224,1008,887,778,1338,1263,143,155,216,422,76,869,374,62,729,870,43,1048,494,679,440,605,124,528,438,884,315,1487,1174,546,893,1041,656,1027,879,478,1245,886,1087,1074,603",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1839.0,511.0,5816.0,5381.0,78.26,56.51,25.47,"(8111, 7445)","(7220, 6327)",50.0,"1261,496,1235,558,270,891,1258,384,605,169,1041,886,833,1245,870,554,784,1321,173,560,537,1071,827,743,416,492,595,1193,1117,312,253,5,720,262,882,185,336,326,1168,423,986,347,354,555,610,1182,631,840,1100,131",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,3198.0,718.0,5335.0,3258.0,81.66,68.21,49.54,"(8147, 6647)","(6456, 6053)",50.0,"113,1144,222,221,338,343,352,163,155,245,395,192,568,325,48,322,58,85,727,111,2,1244,732,805,167,330,212,853,102,348,776,53,492,365,694,405,73,105,669,140,270,86,266,312,489,865,131,185,262,116",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1169.0,39.0,5741.0,5122.0,96.77,57.24,18.58,"(8017, 6288)","(6291, 5780)",50.0,"306,907,268,11,87,511,414,26,526,58,835,142,553,1017,800,27,209,156,578,471,148,325,445,137,426,622,774,89,1020,234,1447,1007,1337,1078,1230,720,945,1258,262,716,628,986,154,119,274,572,204,961,140,281",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1476.0,399.0,5584.0,4846.0,78.72,57.38,23.35,"(8048, 6855)","(6322, 5983)",50.0,"391,234,599,928,292,544,123,47,1010,314,759,66,821,832,1325,386,4,80,183,470,10,50,89,503,278,186,548,40,13,158,931,178,131,270,60,502,596,1060,771,1234,961,94,39,237,1,200,84,264,76,941",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2181.0,421.0,2687.0,4705.0,83.82,48.71,31.67,"(8071, 4333)","(6886, 3108)",50.0,"207,986,326,131,720,177,217,1146,513,248,167,180,222,439,601,343,378,109,593,424,243,50,600,551,529,367,48,611,65,324,853,448,363,488,18,337,396,185,215,275,317,763,634,311,682,631,896,492,824,11",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,7265.0,25.0,899.0,55.0,99.66,99.03,99.25,"(8171, 4502)","(7320, 924)",50.0,"110,458,519,58,380,1150,612,94,733,390,284,668,1015,735,102,175,1247,497,367,547,319,562,1216,391,23,688,237,227,187,255,209,263,317,711,65,932,731,167,987,809,33,208,500,27,258,600,551,378,650,93",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2932.0,1044.0,5606.0,3727.0,73.74,64.15,44.03,"(8007, 3963)","(6659, 6650)",50.0,"673,210,733,6,240,149,82,1402,332,61,1024,502,961,428,281,1373,641,1514,253,600,109,1150,298,162,500,352,37,201,114,735,542,981,357,495,535,624,1454,863,135,73,404,115,173,740,683,1542,91,833,743,670",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1156.0,55.0,5951.0,5266.0,95.46,57.19,18.0,"(7884, 6947)","(6422, 6006)",50.0,"162,55,457,209,63,220,699,427,1408,1488,1576,68,909,159,770,524,705,805,117,956,612,623,1235,474,67,268,752,270,76,151,299,254,896,901,972,533,544,416,517,191,1071,2,5,407,185,23,369,1220,759,927",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,6633.0,428.0,136.0,198.0,93.94,91.53,97.1,"(8118, 4431)","(6831, 564)",50.0,"132,605,297,137,62,1349,893,706,473,243,299,1245,1005,197,1241,166,71,800,1027,269,877,74,13,158,424,178,889,817,159,11,936,174,843,771,383,97,422,357,453,631,146,61,290,643,306,624,326,557,720,492",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,650.0,23.0,5631.0,6308.0,96.58,49.8,9.34,"(8099, 6201)","(6958, 5654)",21.0,"158,653,96,1024,141,181,53,154,64,210,11,874,936,615,356,159,13,142,453,673,69",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2966.0,94.0,1878.0,3811.0,96.93,55.37,43.77,"(8043, 1516)","(6777, 1972)",50.0,"773,311,611,948,700,641,255,1180,243,281,316,367,101,477,536,155,915,752,100,720,326,357,12,121,182,355,73,295,868,158,649,278,178,378,555,424,272,212,731,696,694,25,240,50,33,285,548,184,1614,131",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2436.0,1367.0,2114.0,4703.0,64.05,42.84,34.12,"(8137, 148)","(7139, 3481)",42.0,"340,178,232,53,151,469,569,1014,162,457,147,148,377,358,83,15,96,210,351,252,41,405,361,336,262,623,673,290,334,1,158,102,720,119,192,11,472,326,716,188,1168,579",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2263.0,890.0,3183.0,4241.0,71.77,51.49,34.79,"(8080, 6439)","(6504, 4073)",50.0,"201,641,542,175,186,661,357,242,276,298,119,274,348,126,138,210,390,53,92,358,308,647,455,27,102,58,674,1007,239,356,807,95,261,624,837,823,768,352,162,113,241,767,720,843,2,140,1121,142,199,176",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,2784.0,923.0,2857.0,4517.0,75.1,50.91,38.13,"(8168, 689)","(7301, 3780)",50.0,"300,228,146,572,35,433,21,630,210,802,248,241,404,747,78,180,544,367,92,365,104,50,161,863,477,784,505,759,76,155,417,896,138,80,212,578,1008,833,166,152,1194,972,198,587,343,222,322,292,34,167",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
Horror,1335.0,703.0,4840.0,5114.0,65.51,51.49,20.7,"(8028, 6464)","(6449, 5543)",50.0,"252,569,1,361,61,158,653,864,52,275,99,421,498,666,78,874,503,635,29,358,388,210,365,31,13,586,44,243,290,145,1560,118,244,96,892,460,737,861,140,142,178,11,281,50,1380,190,332,229,1036,42",nan,True,BERT4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,"Sun, 26 Jan 2025 09:51:08"
