i,gen_strategy,gen_error,gen_source,gen_aligned,gen_alignment,gen_cost,gen_gt,gen_aligned_gt,gen_dataset_time,gen_good_points_percentage,gen_bad_points_percentage,gen_good_points_edit_distance,gen_bad_points_edit_distance,gen_aligned_gt@1,gen_gt@1,gen_target_y@1,gen_score@1,gen_source_score@1,gen_aligned_gt@5,gen_gt@5,gen_target_y@5,gen_score@5,gen_source_score@5,gen_aligned_gt@10,gen_gt@10,gen_target_y@10,gen_score@10,gen_source_score@10,gen_aligned_gt@20,gen_gt@20,gen_target_y@20,gen_score@20,gen_source_score@20,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
0,targeted,None,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463","178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,762,463",None,1,None,None,203.227,0.0,75.458,None,4.799,"{0, 1, 14, 16}","{15, 7}",{0},1.0,0.0,"{0, 1, 14, 16},{0, 13, 15},{9, 12, 5, 15},{15, 7},{13, 7}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7}","{0},{0},{0},{0},{0}",0.618,0.0,"{0, 1, 14, 16},{0, 13, 15},{9, 12, 5, 15},{15, 7},{13, 7},{7},{0, 15},{12, 15},{0, 13, 7},{11, 2, 3}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7},{3, 13},{3, 14},{3, 13},{7},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.576,0.0,"{0, 1, 14, 16},{0, 13, 15},{9, 12, 5, 15},{15, 7},{13, 7},{7},{0, 15},{12, 15},{0, 13, 7},{11, 2, 3},{13, 7},{5, 15},{16, 7},{0, 15},{10, 15},{11, 2, 3},{0, 12, 15},{14},{15, 7},{3, 13}","{15, 7},{16, 15, 7},{3, 7},{5, 15},{16, 7},{3, 13},{3, 14},{3, 13},{7},{3, 13},{12, 15},{11, 1, 3, 7},{12, 7},{13, 15, 5, 7},{9, 14},{3},{11, 3, 7},{3, 13},{5, 7},{3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.478,0.0,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
1,targeted,None,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014","1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1206,756,1014",None,1,None,None,207.334,0.0,83.936,None,3.056,"{0, 15}",{7},{0},1.0,0.0,"{0, 15},{15, 5, 7},{3, 5},{0, 1, 15},{3, 7}","{7},{7},{1, 13},{0},{3}","{0},{0},{0},{0},{0}",0.473,0.125,"{0, 15},{15, 5, 7},{3, 5},{0, 1, 15},{3, 7},{3},{0, 15},{3},{0, 14},{15}","{7},{7},{1, 13},{0},{3},{13},{13},{7},{0, 15},{0, 16, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.496,0.321,"{0, 15},{15, 5, 7},{3, 5},{0, 1, 15},{3, 7},{3},{0, 15},{3},{0, 14},{15},{16, 7},{3},{5},{3},{3},{15, 13, 7},{3, 13},{7},{13},{0, 1, 3, 14}","{7},{7},{1, 13},{0},{3},{13},{13},{7},{0, 15},{0, 16, 7},{7},{3},{0, 14},{3, 13},{0, 15, 7},{0, 15},{15},{0, 15},{3, 5},{0}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.409,0.43,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
2,targeted,None,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386","9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,183",None,1,None,None,210.638,0.0,68.665,None,5.307,"{0, 1, 14}",{3},{0},1.0,0.0,"{0, 1, 14},{7},{0, 1, 13, 14, 16},{12, 7},{3, 13}","{3},{3, 7},{3},{13, 7},{3, 13}","{0},{0},{0},{0},{0}",0.708,0.0,"{0, 1, 14},{7},{0, 1, 13, 14, 16},{12, 7},{3, 13},{0, 1, 3, 5},{11, 13},{0, 1, 3, 13},{0, 1, 7, 13, 14, 16},{0, 1, 14}","{3},{3, 7},{3},{13, 7},{3, 13},{3},{3},{3},{13, 7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.787,0.0,"{0, 1, 14},{7},{0, 1, 13, 14, 16},{12, 7},{3, 13},{0, 1, 3, 5},{11, 13},{0, 1, 3, 13},{0, 1, 7, 13, 14, 16},{0, 1, 14},{7},{3},{0, 1, 14},{0, 1, 5, 7},{17},{0, 1},{0, 15},{3},{7},{17, 3}","{3},{3, 7},{3},{13, 7},{3, 13},{3},{3},{3},{13, 7},{13, 7},{11, 3},{15, 7},{7},{13, 7},{3},{13, 7},{11, 13},{13, 7},{11, 1, 3},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.746,0.0,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
3,targeted,None,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282","260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,63,1434,1282",None,1,None,None,203.267,0.0,86.096,None,2.814,"{0, 14, 15}",{7},{0},1.0,0.0,"{0, 14, 15},{3, 7},{15, 5, 7},{12, 15},{7}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7}","{0},{0},{0},{0},{0}",0.428,0.28,"{0, 14, 15},{3, 7},{15, 5, 7},{12, 15},{7},{1, 3},{3, 12, 5, 15},{3},{7},{0, 15}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7},{15, 5, 7},{3, 7},{3, 12, 5, 15},{3, 13},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.349,0.157,"{0, 14, 15},{3, 7},{15, 5, 7},{12, 15},{7},{1, 3},{3, 12, 5, 15},{3},{7},{0, 15},{15, 5, 7},{3, 13},{13},{0, 17, 7},{0, 13, 15},{13, 7},{3, 7},{15, 7},{5},{5, 7}","{7},{3, 7},{0, 14, 15},{7},{15, 5, 7},{15, 5, 7},{3, 7},{3, 12, 5, 15},{3, 13},{5, 7},{3},{0, 10, 14},{0, 13, 15},{15, 7},{0, 15},{7},{11, 2, 3},{7},{12, 15},{0, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.328,0.279,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
4,targeted,None,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774","376,699,297,533,250,326,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",None,1,None,None,212.832,0.0,82.513,None,2.237,"{0, 15}","{0, 15}",{0},1.0,1.0,"{0, 15},{7},{0, 1},{0, 3},{5, 7}","{0, 15},{7},{0, 3},{0, 1},{5, 7}","{0},{0},{0},{0},{0}",0.733,0.733,"{0, 15},{7},{0, 1},{0, 3},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7}","{0, 15},{7},{0, 3},{0, 1},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.498,0.498,"{0, 15},{7},{0, 1},{0, 3},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7},{10, 7},{0, 16, 14, 15},{14, 7},{3, 7},{0, 13, 7},{7},{5},{0, 13, 15},{5},{13, 7}","{0, 15},{7},{0, 3},{0, 1},{5, 7},{3},{7},{7},{1, 14, 15},{5, 7},{10, 7},{0, 16, 14, 15},{14, 7},{0, 13, 7},{3, 7},{7},{5},{5},{0, 13, 15},{0, 1, 14, 16}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.49,0.541,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
5,targeted,None,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492","569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,341,231,175,290,1,492",None,1,None,None,187.769,0.0,77.008,None,2.941,"{0, 13, 7}",{7},{0},1.0,0.0,"{0, 13, 7},{7},{3, 7},{15, 5, 7},{3}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3}","{0},{0},{0},{0},{0}",0.475,0.315,"{0, 13, 7},{7},{3, 7},{15, 5, 7},{3},{3},{16, 13, 7},{9, 12, 5, 15},{7},{15, 7}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3},{3},{0, 16, 15, 7},{3, 13},{16, 13, 7},{9, 12, 5, 15}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.306,0.311,"{0, 13, 7},{7},{3, 7},{15, 5, 7},{3},{3},{16, 13, 7},{9, 12, 5, 15},{7},{15, 7},{15, 13, 7},{14, 7},{3, 12, 5, 7},{3, 13},{0, 5, 7},{0, 16, 15, 7},{15, 7},{16, 7},{7},{0, 1, 13, 14, 16}","{7},{0, 13, 7},{3, 7},{3, 12, 5, 7},{3},{3},{0, 16, 15, 7},{3, 13},{16, 13, 7},{9, 12, 5, 15},{15, 13, 7},{15, 5, 7},{15, 7},{0, 5, 7},{16, 7},{14, 7},{12, 15},{7},{15, 7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.349,0.25,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
6,targeted,None,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326","557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1235,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326",None,1,None,None,214.202,0.0,83.398,None,2.377,"{0, 13, 15}","{0, 13, 15}",{0},1.0,1.0,"{0, 13, 15},{3, 7},{3},{3, 7},{0, 13, 7}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7}","{0},{0},{0},{0},{0}",0.613,0.629,"{0, 13, 15},{3, 7},{3},{3, 7},{0, 13, 7},{13, 7},{3, 13},{6},{0, 1, 14, 16},{3}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7},{13, 7},{3, 13},{0, 1, 14, 16},{3},{1, 3}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.538,0.537,"{0, 13, 15},{3, 7},{3},{3, 7},{0, 13, 7},{13, 7},{3, 13},{6},{0, 1, 14, 16},{3},{1, 3},{3, 7},{7},{3, 12, 5, 7},{11, 2, 3},{7},{7},{3, 13, 7},{12, 15},{3}","{0, 13, 15},{3, 7},{3},{0, 13, 7},{3, 7},{13, 7},{3, 13},{0, 1, 14, 16},{3},{1, 3},{3, 12, 5, 7},{7},{11, 2, 3},{7},{12, 15},{6},{3, 7},{7},{3, 13, 7},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.358,0.366,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
7,targeted,None,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923","5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,939",None,1,None,None,214.755,0.0,92.584,None,2.683,"{0, 10, 14}",{3},{0},1.0,0.0,"{0, 10, 14},{7},{0, 14, 15},{3, 7},{3, 12, 5, 15}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7}","{0},{0},{0},{0},{0}",0.597,0.29,"{0, 10, 14},{7},{0, 14, 15},{3, 7},{3, 12, 5, 15},{15, 5, 7},{3},{3, 13},{7},{0, 15}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.486,0.358,"{0, 10, 14},{7},{0, 14, 15},{3, 7},{3, 12, 5, 15},{15, 5, 7},{3},{3, 13},{7},{0, 15},{7},{7},{5, 7},{3},{3, 7},{7},{13, 7},{9},{0, 1, 14},{0, 17, 7}","{3},{0, 14, 15},{3, 12, 5, 15},{3, 7},{3, 7},{5},{7},{0, 15},{0, 15},{7},{15, 5, 7},{16, 7},{15, 5, 7},{12, 15},{0, 3, 7},{7},{0, 17, 7},{13, 7},{3},{3, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.442,0.322,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
8,targeted,None,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334","1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,633",None,1,None,None,214.687,0.0,81.952,None,3.59,"{0, 1, 14}","{1, 17, 7}",{0},1.0,0.0,"{0, 1, 14},{0, 15},{11, 2, 3},{11},{11, 13}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7}","{0},{0},{0},{0},{0}",0.612,0.0,"{0, 1, 14},{0, 15},{11, 2, 3},{11},{11, 13},{11, 2, 3},{3},{11, 2, 3},{1, 17, 7},{0, 1}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.448,0.069,"{0, 1, 14},{0, 15},{11, 2, 3},{11},{11, 13},{11, 2, 3},{3},{11, 2, 3},{1, 17, 7},{0, 1},{0, 14, 15},{0, 1, 3, 13},{16, 13, 7},{0, 13, 15},{3, 13},{3, 14},{0, 10},{11, 2, 3},{11, 3},{3, 13}","{1, 17, 7},{7},{3, 13, 7},{3, 14},{15, 7},{11},{0, 10},{11, 2, 3},{7},{15, 7},{0, 15},{16, 7},{0, 1, 14},{0, 13, 15},{7},{7},{3, 13},{12, 7},{0, 1, 7},{13, 7}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.461,0.234,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
9,targeted,None,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424","388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,404",None,1,None,None,208.594,0.0,82.672,None,3.4,"{0, 1, 14}",{11},{0},1.0,0.0,"{0, 1, 14},{11},{0, 1},{0, 1},{11, 2, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14}","{0},{0},{0},{0},{0}",0.731,0.156,"{0, 1, 14},{11},{0, 1},{0, 1},{11, 2, 3},{16, 13, 7},{11, 2, 3},{11, 2, 3},{0, 15},{11, 3}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.504,0.206,"{0, 1, 14},{11},{0, 1},{0, 1},{11, 2, 3},{16, 13, 7},{11, 2, 3},{11, 2, 3},{0, 15},{11, 3},{13, 7},{0, 14, 15},{0, 1, 7, 13, 14, 16},{11, 13},{3, 14},{1, 17, 7},{0, 13},{1, 7},{3, 7},{0, 1, 13, 14, 16}","{11},{11, 2, 3},{15, 7},{0, 1},{3, 14},{1, 17, 7},{11, 1, 3, 7},{0, 15},{11, 2, 3},{0, 1},{0, 1, 7, 13, 14, 16},{11, 2, 3},{16, 7},{3, 13},{16, 13, 7},{16, 3, 13},{0, 14, 15},{16, 13, 7},{0, 16, 14, 15},{11, 13}","{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}",0.523,0.302,True,BERT4Rec,ml-100k,False,16384,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,"(1, 1, 1)",targeted,True,0.7,"Wed, 08 Jan 2025 20:08:15"
