tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
581,104,2927,2843,84.82,54.35,16.97,"(4304, 3333)","(3424, 3031)",45,"178,290,154,362,322,733,1007,61,972,141,114,137,1055,312,348,241,112,53,32,298,321,89,368,492,493,572,356,1009,69,404,96,720,204,176,428,162,366,182,26,116,453,311,242,286,463",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
703,276,2858,2562,71.81,55.65,21.53,"(4180, 3641)","(3265, 3134)",50,"1671,5,882,99,586,852,336,931,1104,392,1480,2,207,1117,610,864,405,117,1422,1018,178,1179,1195,244,44,956,595,991,281,1182,1167,1059,73,1282,1385,131,658,358,142,185,205,512,88,190,201,861,86,1220,756,1014",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1678,210,808,3813,88.88,38.19,30.56,"(6871, 1006)","(5491, 1018)",50,"9,66,480,415,821,938,194,522,608,14,1113,753,193,984,364,800,1049,206,779,765,65,1241,561,1020,835,1055,8,71,160,878,123,876,233,203,1096,1214,1063,1349,314,144,38,258,655,135,4,57,96,568,133,386",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1179,314,1819,3047,78.97,47.15,27.9,"(5551, 2559)","(4226, 2133)",50,"260,303,46,14,1370,87,98,614,795,487,54,939,856,584,205,802,791,121,94,248,63,416,892,960,131,158,333,23,369,759,1167,643,1295,1247,932,555,586,631,959,503,1015,474,268,9,583,1016,492,96,1434,1282",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
290,85,2576,3438,77.33,44.86,7.78,"(5054, 3074)","(3728, 2661)",50,"376,699,297,533,250,369,979,1114,927,205,41,348,102,267,116,262,185,5,1117,405,86,891,956,326,368,322,367,671,1211,64,134,383,372,104,1207,88,484,388,873,1183,1195,526,850,492,2,308,555,720,374,774",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
783,330,2957,2373,70.35,58.05,24.81,"(3993, 3707)","(3156, 3287)",24,"569,421,118,900,1070,50,59,53,190,134,388,596,358,13,69,401,696,78,241,231,175,290,1,492",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
181,73,2927,3041,71.26,49.95,5.62,"(4285, 3903)","(3222, 3000)",50,"557,457,527,459,245,63,339,77,136,167,9,1057,593,432,378,779,34,232,322,780,254,574,346,436,265,62,974,1123,469,55,608,67,754,310,158,13,1238,96,352,255,318,492,146,434,547,175,51,530,1064,326",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
2013,52,690,3781,97.48,41.36,34.74,"(7112, 719)","(5794, 742)",50,"5,720,185,945,1230,492,131,1283,272,711,610,555,82,1001,799,83,699,500,337,81,379,1069,807,54,823,45,503,795,856,939,984,487,6,832,295,704,932,609,1099,1180,361,134,581,244,326,864,1282,631,1431,923",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
469,84,2543,3330,84.81,46.87,12.35,"(4737, 2966)","(3799, 2627)",50,"1673,27,101,1316,41,292,183,294,475,507,220,205,141,532,122,25,50,436,439,346,148,655,63,321,553,48,567,210,434,390,648,167,208,407,503,32,481,190,201,227,29,37,228,111,230,100,79,538,298,334",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1096,192,1931,3494,85.09,45.09,23.88,"(5490, 2282)","(4590, 2123)",50,"388,936,303,578,1295,404,121,18,25,782,69,553,260,104,137,345,279,84,365,191,24,152,201,409,472,1038,572,241,157,175,30,461,906,240,67,239,102,623,842,568,217,32,321,450,138,101,457,242,27,424",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
