position,num_seqs,mean_changes,mean_at_least_changes,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
49,500,30.331,64.485,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:27:29"
48,500,19.409,49.063,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:27:29"
47,500,16.455,39.63,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:27:29"
46,500,15.169,33.306,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:27:29"
45,500,14.216,31.03,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
44,500,12.6,26.522,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
43,500,12.3,27.458,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
42,500,11.873,25.464,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
41,500,14.72,24.829,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
40,500,13.339,23.599,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
39,500,12.869,22.87,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
38,500,12.77,21.814,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
37,500,12.21,20.931,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
36,500,12.036,20.038,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
35,500,9.601,20.461,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
34,500,8.512,21.139,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
33,500,10.312,20.508,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
32,500,11.994,21.841,BERT4Rec,ml-1m,True,2048,10,0.2,0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(6, 6, 6)",genetic,"Sat, 07 Dec 2024 20:52:37"
