i,split,status,source,aligned,alignment,cost,gt,aligned_gt,score,dataset_time,align_time,automata_learning_time,use_cache,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,jaccard_threshold,timestamp,mut_prob,crossover_prob
0,"(None, 1, 0)",bad,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,549","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_549,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{7}, {7}, {15}, {7}, {0, 7}, {7}, {10}, {0, 7}, {15, 7}, {13, 7}]",0.789,196.747,1.246,5.007,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
0,"(None, 10, 0)",good,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,247","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,sync_204,sync_1034,sync_1273,sync_289,sync_462,add_247,del_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{5, 15}, {5, 15}, {5, 15}, {0, 15}, {0, 5, 15}, {15, 5, 7}, {9, 5, 7}, {13, 15, 5, 7}, {15, 7}, {5, 7}]",0.585,196.747,128.94,4.752,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
0,"(None, 1, 5)",bad,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,805,1034,1273,289,462,165","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,add_805,del_204,sync_1034,sync_1273,sync_289,sync_462,sync_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{7}, {7}, {10}, {7}, {15}, {0, 7}, {13, 7}, {7}, {0, 7}, {7}]",0.783,196.747,3.77,4.56,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
0,"(None, 5, 5)",bad,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,901,1034,1273,289,462,165","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,del_204,add_901,sync_1034,sync_1273,sync_289,sync_462,sync_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{7}, {7}, {7}, {13, 7}, {7}, {15}, {5, 7}, {10}, {3}, {15, 7}]",0.842,196.747,109.615,4.859,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
0,"(None, 10, 5)",bad,"2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,204,1034,1273,289,462,165","2720,365,1634,1229,140,351,1664,160,1534,1233,618,267,2490,213,2483,89,273,665,352,222,2265,2612,429,2492,2827,532,1002,202,821,1615,1284,830,176,1116,2626,23,415,1988,694,133,1536,510,290,152,901,1034,1273,289,462,165","sync_2720,sync_365,sync_1634,sync_1229,sync_140,sync_351,sync_1664,sync_160,sync_1534,sync_1233,sync_618,sync_267,sync_2490,sync_213,sync_2483,sync_89,sync_273,sync_665,sync_352,sync_222,sync_2265,sync_2612,sync_429,sync_2492,sync_2827,sync_532,sync_1002,sync_202,sync_821,sync_1615,sync_1284,sync_830,sync_176,sync_1116,sync_2626,sync_23,sync_415,sync_1988,sync_694,sync_133,sync_1536,sync_510,sync_290,sync_152,del_204,add_901,sync_1034,sync_1273,sync_289,sync_462,sync_165",1,"[{7}, {7}, {7}, {10}, {0, 7}, {7}, {0, 7}, {15}, {0, 5, 7}, {7}]","[{7}, {7}, {7}, {13, 7}, {7}, {15}, {5, 7}, {10}, {3}, {15, 7}]",0.842,196.747,154.546,4.664,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
1,"(None, 1, 0)",bad,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,7","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,add_7,del_719",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {12, 15}, {16, 1}, {11, 13}, {16, 1}, {9, 12}, {16, 14}, {12, 15}, {7}, {15, 7}]",0.717,199.099,12.472,5.794,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
1,"(None, 10, 0)",bad,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,7","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,sync_1093,sync_670,sync_421,sync_1450,sync_536,add_7,del_719",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {12, 15}, {16, 1}, {11, 13}, {16, 1}, {9, 12}, {16, 14}, {12, 15}, {7}, {15, 7}]",0.717,199.099,100.366,5.347,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
1,"(None, 1, 5)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,3288,670,421,1450,536,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,add_3288,del_1093,sync_670,sync_421,sync_1450,sync_536,sync_719",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {9, 12}, {12, 15}, {12, 15}, {16, 14}, {7}, {3, 5}, {16, 1}, {9, 12, 5, 15}, {16, 13, 7}]",0.658,199.099,8.806,5.163,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
1,"(None, 5, 5)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,3288,670,421,1450,536,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,del_1093,add_3288,sync_670,sync_421,sync_1450,sync_536,sync_719",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {9, 12}, {12, 15}, {12, 15}, {16, 14}, {7}, {3, 5}, {16, 1}, {9, 12, 5, 15}, {16, 13, 7}]",0.658,199.099,134.567,5.367,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
1,"(None, 10, 5)",good,"713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,1093,670,421,1450,536,719","713,1624,415,2044,391,610,727,38,1046,1863,723,756,427,1738,1645,2142,609,1461,633,12,2,36,422,1796,420,26,1254,630,1462,339,986,1922,1629,1284,1535,1492,961,1583,849,666,1527,1458,662,560,3288,670,421,1450,536,719","sync_713,sync_1624,sync_415,sync_2044,sync_391,sync_610,sync_727,sync_38,sync_1046,sync_1863,sync_723,sync_756,sync_427,sync_1738,sync_1645,sync_2142,sync_609,sync_1461,sync_633,sync_12,sync_2,sync_36,sync_422,sync_1796,sync_420,sync_26,sync_1254,sync_630,sync_1462,sync_339,sync_986,sync_1922,sync_1629,sync_1284,sync_1535,sync_1492,sync_961,sync_1583,sync_849,sync_666,sync_1527,sync_1458,sync_662,sync_560,del_1093,add_3288,sync_670,sync_421,sync_1450,sync_536,sync_719",1,"[{11, 1, 3, 7}, {9, 12}, {16, 14}, {12, 15}, {16, 1}, {7}, {12, 15}, {3, 5}, {16, 13, 7}, {9, 12, 5, 15}]","[{11, 1, 3, 7}, {9, 12}, {12, 15}, {12, 15}, {16, 14}, {7}, {3, 5}, {16, 1}, {9, 12, 5, 15}, {16, 13, 7}]",0.658,199.099,218.729,5.028,False,True,BERT4Rec,ml-1m,8192,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(4, 4, 4)",genetic_categorized,0.7,"Tue, 17 Dec 2024 21:45:26",0.5,0.7
