seq_idx,good_pop_ratio,good_normalized_seq_dist,good_seq_dist,bad_pop_ratio,bad_normalized_seq_dist,bad_seq_dist,determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,timestamp
1,0.945,0.083,9.773,1.0,0.295,35.018,True,BERT4Rec,ml-1m,512,10,0.0,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:45:51"
1,1.143,0.076,9.05,1.0,0.295,35.018,True,BERT4Rec,ml-1m,512,10,0.2,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:46:04"
1,0.937,0.095,11.448,0.997,0.299,35.022,True,BERT4Rec,ml-1m,1024,10,0.0,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:46:16"
1,1.137,0.086,10.466,0.997,0.299,35.022,True,BERT4Rec,ml-1m,1024,10,0.2,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:46:39"
1,0.943,0.089,10.59,1.0,0.306,35.309,True,BERT4Rec,ml-1m,2048,10,0.0,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:47:03"
1,1.144,0.08,9.649,1.0,0.306,35.309,True,BERT4Rec,ml-1m,2048,10,0.2,0.0,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:47:48"
1,0.916,0.045,5.401,1.0,0.297,33.803,True,BERT4Rec,ml-1m,512,10,0.0,0.25,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:48:35"
1,1.115,0.039,4.667,1.0,0.297,33.803,True,BERT4Rec,ml-1m,512,10,0.2,0.25,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:48:47"
1,0.921,0.046,5.454,0.999,0.258,29.779,True,BERT4Rec,ml-1m,1024,10,0.0,0.25,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:49:00"
1,1.121,0.039,4.691,0.999,0.258,29.779,True,BERT4Rec,ml-1m,1024,10,0.2,0.25,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,"(1, 1, 1)","Thu, 05 Dec 2024 17:49:24"
