determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,count,fidelity_score@1,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 5, 0)",200,0.575,0.51,0.44,0.365,1.0,0.745,0.615,0.46,1.005,0.7,20.966145,,6.878225,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 5, 0)",200,0.41,0.29,0.165,0.095,1.0,0.555,0.325,0.18,1.025,0.87,20.895775000000004,,7.730329999999999,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 5, 0)",5,0.2,0.0,0.0,0.2,1.0,0.6,0.2,0.2,1.4,1.2,20.684000000000005,,5.9524,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{0},"(None, 1, 0)",100,0.48,0.2,0.17,0.12,1.0,0.3,0.18,0.1,1.01,0.6,22.51639,,0.8447200000000001,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{10},"(None, 1, 0)",100,0.17,0.07,0.04,0.06,0.94,0.07,0.06,0.09,1.2446808510638299,0.925531914893617,21.58457446808511,,0.5761276595744681,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{10},"(None, 10, 0)",1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,21.476,,9.238,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{11},"(None, 1, 0)",100,0.16,0.03,0.01,0.0,0.92,0.16,0.08,0.0,1.358695652173913,0.9347826086956522,21.610760869565215,,0.519695652173913,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{12},"(None, 1, 0)",100,0.14,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1.27,0.97,22.312400000000007,,0.55641,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{13},"(None, 1, 0)",31,0.3870967741935484,0.0967741935483871,0.06451612903225806,0.03225806451612903,1.0,0.1935483870967742,0.0967741935483871,0.06451612903225806,1.0,0.6774193548387096,25.41722580645161,,0.7676129032258067,
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,{13},"(None, 10, 0)",35,0.5714285714285714,0.14285714285714285,0.11428571428571428,0.08571428571428572,1.0,0.17142857142857143,0.11428571428571428,0.02857142857142857,1.0285714285714285,0.9714285714285714,21.696571428571428,,15.760114285714288,
