determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,tp,count,fp,tn,fn,precision,accuracy,recall
True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,741,3,473,2614,4264,0.6103789126853377,0.41460701927829957,0.14805194805194805
True,BERT4Rec,ml-100k,Action,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,554,1,274,1595,1393,0.6690821256038647,0.5631551362683438,0.28454031843862354
True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,174104,157,61719,820218,853186,0.7382825254534121,0.5207982078610872,0.16947892026594244
True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,5,"(1, 1, 1)",targeted,True,0.5,214214,200,76140,1046790,1092163,0.7377683792887303,0.5190797210891831,0.16397563643573027
True,BERT4Rec,ml-100k,Action,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,10,"(1, 1, 1)",targeted,True,0.5,3064,1,1766,5568,4521,0.6343685300207039,0.578591058381929,0.403955174686882
True,BERT4Rec,ml-100k,Adventure,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,134351,100,45309,497016,530062,0.7478069687186909,0.5232013908570046,0.20221007114550738
True,BERT4Rec,ml-100k,Animation,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,345152,110,83231,336733,401364,0.8057089100174377,0.5845663877648996,0.4623504385706401
True,BERT4Rec,ml-100k,Comedy,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,105556,100,35491,540861,528996,0.7483746552567584,0.5338300971835918,0.16634728123148299
True,BERT4Rec,ml-100k,Crime,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,170734,100,59759,487180,500379,0.7407339919216636,0.5401362175013875,0.25440425084896284
True,BERT4Rec,ml-100k,Documentary,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,378593,87,70833,178564,213454,0.8423922959508351,0.6621438859864709,0.6394644344114572
True,BERT4Rec,ml-100k,Drama,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,72326,72,24488,394657,386658,0.7470613754209102,0.5317931647855839,0.15757847768113922
True,BERT4Rec,ml-100k,Fantasy,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,127041,38,17560,70521,133075,0.8785623889184722,0.5673857040698226,0.4884013286379923
True,BERT4Rec,ml-100k,Horror,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,110994,50,27527,197414,227611,0.8012792284202396,0.5472632225230948,0.32779787658185794
True,BERT4Rec,ml-100k,Musical,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,157200,50,45830,140838,180407,0.7742698123430035,0.5684764675027418,0.46563015577283645
True,BERT4Rec,ml-100k,Mystery,8192,10,0,0.7,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,18626,8,6259,30730,35328,0.7484830219007435,0.542713567839196,0.34522000222411686
