position,k,rows,counterfactuals,ndcg,jaccards
11,5,130,9.411,93.743,83.87
12,5,130,10.631,93.0,82.259
13,5,130,10.473,93.426,82.952
14,5,130,10.738,93.359,83.465
15,5,130,10.308,93.263,82.959
16,5,130,10.871,93.046,83.112
17,5,130,9.861,93.542,83.542
18,5,130,11.144,93.273,83.154
19,5,129,10.67,93.381,83.506
20,5,128,9.535,92.512,81.778
21,5,127,8.006,93.424,82.629
22,5,125,8.48,93.217,82.003
23,5,124,8.918,93.007,81.753
24,5,123,10.067,92.196,80.108
25,5,123,9.643,92.149,80.015
26,5,122,10.827,91.384,77.693
27,5,121,11.017,90.865,76.939
28,5,121,12.444,90.209,75.752
29,5,117,12.772,90.183,75.898
30,5,116,13.62,89.094,74.245
31,5,114,11.536,90.344,75.04
32,5,111,11.964,90.235,75.317
33,5,110,12.054,90.11,74.54
34,5,107,11.53,90.383,75.012
35,5,103,11.814,90.083,74.909
36,5,103,12.892,89.43,73.996
37,5,102,13.044,88.949,72.323
38,5,102,13.194,88.756,71.177
39,5,102,16.519,86.92,68.656
40,5,101,16.667,86.591,66.826
41,5,101,18.09,85.647,65.096
42,5,100,19.901,84.484,63.357
43,5,100,20.682,83.346,60.763
44,5,99,24.679,81.615,58.644
45,5,97,27.141,79.487,55.382
46,5,96,28.797,78.431,53.724
47,5,94,35.225,74.599,50.101
48,5,94,43.895,69.575,45.418
49,5,94,56.847,60.156,38.22
