position,k,rows,counterfactuals,ndcg,jaccards
0,5,200,4.5,86.587,100.0
0,10,200,11.5,83.666,100.0
1,5,200,4.941,86.647,87.527
1,10,200,11.718,83.742,72.436
2,5,200,5.038,86.677,86.201
2,10,200,11.895,83.797,70.538
3,5,200,5.025,86.678,86.257
3,10,200,12.05,83.807,71.118
4,5,200,5.061,86.729,86.644
4,10,200,11.996,83.811,72.009
5,5,200,5.34,86.685,87.16
5,10,200,11.475,83.803,71.723
6,5,200,5.046,86.723,86.246
6,10,200,11.455,83.816,70.139
7,5,200,5.041,86.764,85.285
7,10,200,11.952,83.828,68.368
8,5,200,5.021,86.796,84.335
8,10,200,11.71,83.837,68.805
9,5,200,4.642,86.775,84.162
9,10,200,11.968,83.822,67.454
10,5,200,5.516,86.708,82.615
10,10,200,11.821,83.831,66.623
11,5,200,4.761,86.743,82.436
11,10,200,11.906,83.845,66.335
12,5,200,5.589,86.7,81.285
12,10,200,12.063,83.856,65.739
13,5,200,5.142,86.791,81.752
13,10,200,11.737,83.886,65.212
14,5,200,5.299,86.704,82.313
14,10,200,11.684,83.821,66.35
15,5,200,5.472,86.759,81.828
15,10,200,12.01,83.823,66.441
16,5,200,5.176,86.733,82.009
16,10,200,11.591,83.833,67.243
17,5,200,5.475,86.668,82.519
17,10,200,11.348,83.835,67.687
18,5,200,5.01,86.738,81.935
18,10,200,11.346,83.838,66.932
19,5,198,5.319,86.623,82.382
19,10,198,11.729,83.76,67.552
20,5,195,4.761,86.875,81.214
20,10,195,11.394,83.892,66.096
21,5,193,4.906,86.967,81.895
21,10,193,11.257,84.025,66.458
22,5,190,4.42,87.106,81.361
22,10,190,10.892,84.139,66.007
23,5,189,4.488,87.109,81.376
23,10,189,10.672,84.161,66.009
24,5,188,4.673,87.053,79.746
24,10,188,10.624,84.13,64.856
25,5,187,4.646,87.172,79.623
25,10,187,10.69,84.271,64.405
26,5,186,4.787,87.117,76.935
26,10,186,10.557,84.228,62.385
27,5,185,4.94,87.05,76.188
27,10,185,10.989,84.185,61.043
28,5,183,4.994,87.038,75.789
28,10,183,10.967,84.177,60.571
29,5,178,5.019,87.113,75.846
29,10,178,10.686,84.279,60.377
30,5,177,4.946,87.066,74.245
30,10,177,10.983,84.249,58.904
31,5,173,4.18,87.446,75.221
31,10,173,10.375,84.627,59.724
32,5,169,4.515,87.373,75.15
32,10,169,9.799,84.679,59.703
33,5,168,4.016,87.362,74.322
33,10,168,10.205,84.568,59.682
34,5,164,3.77,87.367,74.643
34,10,164,9.837,84.584,59.146
35,5,160,4.137,87.296,74.955
35,10,160,10.308,84.462,58.939
36,5,160,3.851,87.281,73.706
36,10,160,10.389,84.415,58.598
37,5,159,2.938,87.605,71.814
37,10,159,10.186,84.554,56.829
38,5,157,3.162,87.441,71.427
38,10,157,9.853,84.613,56.433
39,5,156,3.77,87.482,68.831
39,10,156,10.605,84.635,54.956
40,5,155,4.057,87.638,67.11
40,10,155,9.86,84.827,54.038
41,5,155,3.812,87.753,65.587
41,10,155,10.481,84.846,52.768
42,5,154,3.955,87.621,63.965
42,10,154,10.746,84.713,52.115
43,5,154,4.212,87.581,61.135
43,10,154,10.597,84.672,50.646
44,5,152,5.479,87.321,59.5
44,10,152,10.804,84.572,49.977
45,5,150,6.717,87.18,55.802
45,10,150,11.02,84.386,48.504
46,5,149,7.44,86.933,54.014
46,10,149,11.594,84.181,47.751
47,5,146,10.094,86.013,50.399
47,10,146,13.261,83.59,45.925
48,5,146,16.422,83.732,45.49
48,10,146,17.623,81.901,43.524
49,5,146,28.01,77.956,38.261
49,10,146,29.824,77.324,38.89
