sequence,rows,all_changes,any_changes,jaccards
"1,93,2373,24,257,125,185,1887,1435,98,157,45,128,133,435,670,49,6,137,140,65,1108,211,105,416,39,69,1769,245,68,247,44,830,52,273,260,1274,923,1652,1062,548,387,942,420,326,2386,910,1329,912,203",1,18.866,48.34,52.32
"1000,2401,893,832,445,546,1713,267,520,597,609,610,651,940,38,350,1486,3132,3181,316,327,518,1614,416,958,221,545,1435,2706,2630,2484,2092,531,56,2629,1106,2649,2716,384,2215,2567,863,2019,227,2588,244,2052,317,1,1110",1,4.345,30.256,80.577
"1002,1005,703,600,749,1009,897,738,98,1059,433,190,991,587,1620,195,611,200,1609,917,624,394,2234,395,1508,216,209,2554,124,1833,2878,846,1004,739,1231,84,1359,197,930,1081,128,137,1476,670,1469,1093,720,729,152,211",1,29.501,89.447,26.084
"1003,426,920,502,2043,312,219,930,892,45,125,128,140,210,435,670,93,49,137,216,217,1155,65,209,1229,200,644,214,211,712,1081,278,58,1476,196,152,111,588,1836,151,161,896,114,121,80,156,190,1482,149,776",1,4.831,86.154,38.463
"1004,739,1081,720,45,125,6,128,715,210,218,665,1093,140,7,214,213,10,719,561,840,835,1196,207,598,34,3,697,2042,618,46,421,1863,1532,767,175,663,97,612,744,78,965,1009,154,1705,1676,72,1468,1540,634",1,18.246,91.822,35.246
"1010,117,247,2142,275,1337,114,2680,98,125,128,133,715,65,210,218,7,214,670,93,211,720,137,265,216,217,1229,187,79,152,200,647,256,749,140,63,756,616,213,58,1476,729,1155,61,644,206,1252,149,1023,161",1,12.308,84.507,39.586
"1011,464,98,97,45,125,715,210,741,218,965,1009,744,539,377,63,65,759,78,990,991,114,644,1002,663,848,295,1005,1006,703,156,734,190,215,981,1019,323,529,971,212,27,677,278,1001,857,620,161,776,738,433",1,12.119,47.341,42.19
"1012,431,1333,127,1688,1841,433,252,203,568,850,920,74,328,126,1208,1156,565,87,1266,1193,2334,1104,932,937,66,1140,536,51,734,291,41,1834,21,146,1399,522,1201,33,117,5,372,1151,222,515,165,34,788,1147,2175",1,19.028,19.028,63.41
"1017,581,583,1349,389,1914,393,128,178,744,2706,125,23,1345,1099,27,6,1567,53,1116,1080,184,82,2000,1309,218,193,798,2001,1043,42,715,1677,1211,1051,795,1006,756,187,1050,16,148,1247,14,274,1052,143,278,1302,1265",1,15.142,85.587,35.253
"1017,592,607,1063,1768,1554,2,623,637,2224,672,428,3078,574,456,1317,1827,2188,1026,2204,1773,1092,1109,1299,21,372,1645,1314,90,833,275,1305,1384,199,1304,1853,687,1177,716,779,2087,2373,567,402,704,201,1427,1133,1076,2202",1,13.927,61.7,56.14
"1028,284,354,1302,480,258,432,530,1683,1107,511,436,142,525,2572,21,47,157,1647,2323,281,1872,612,995,26,830,500,1488,397,1547,3406,2439,342,61,39,808,365,1015,1673,494,307,34,11,208,468,924,18,633,35,391",1,8.151,42.321,69.859
"1042,1669,376,835,853,842,126,858,674,149,196,645,648,855,1026,312,1686,623,2176,1830,2351,1038,679,606,620,1098,127,2275,73,642,681,1618,676,777,845,765,1037,657,1206,181,134,1418,1090,576,1045,1085,1068,574,1067,552",1,32.443,95.924,20.008
"1048,625,1094,1028,391,38,671,47,18,2,672,1087,1178,2184,1021,389,205,970,2025,561,1707,846,202,842,2201,841,1418,2780,1026,1825,1833,395,195,611,1564,1508,2123,1383,2433,408,689,2270,1377,1314,1051,702,540,1899,362,699",1,16.032,16.032,54.453
"1050,516,586,338,141,3368,543,595,46,1005,508,425,1287,1560,587,1097,833,1577,206,79,1404,1501,1898,383,285,2482,1547,503,738,1650,525,291,90,604,2268,1131,325,165,3,485,239,201,558,847,677,461,2825,156,318,1739",1,30.553,64.804,48.14
"1064,1727,1276,1082,2546,2547,2549,2200,2548,624,3101,195,611,200,1609,3161,124,394,2949,395,1564,917,1825,417,846,1508,398,1359,2433,198,414,739,1873,3100,1383,1433,670,52,771,1252,60,2882,515,243,1968,490,921,2467,889,168",1,20.621,86.802,29.812
